connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
mexc,BTCUSDT,BTC-USDT,BTC,USDT,True,1,True,70838.97,1056677385.34,15115.80226873,70821.95,0.00377054,70821.96,0.8301793,0.0014114458512223598,10408.494199619101,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,1.0,0.9995044598612488,0.9509415262636274,99.00644202180376,70849.33,70849.34,70849.33499999999,0.00999999999476131,10408.494199619101,10928.738121381399,200,200,652642.7240314542,321982.73912662844,321982.73912662844,660600.5982663053,424779.6597466925,424779.6597466925,736206.4364665353,474029.6310098298,474029.6310098298,288,1774229700.0,1774315800.0,288,0,1.0,0.0,25.1568110871283,27.852670487449224,0.09712722298221603,-0.0371272335571516,2375134.325778774,500,66.51884700665188,1764617.8068631333,234760.6838398847,5.565792083740234,521.6026384589,0.502,17823.433371773808,1.0,0.95,0.99,0.94,0.949,1.0,1.0,1.0,0.0,0.6666666666666666,94.41466666666668,[],,True
mexc,ETHUSDT,ETH-USDT,ETH,USDT,True,1,True,2146.84,899134321.47,421881.91794,2146.19,0.14156,2146.2,26.74855,0.04658367009334683,9854.334539999998,0.01,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9995044598612488,0.9985133795837463,0.9608523290386521,99.15262636273539,2146.67,2146.68,2146.675,0.009999999999763531,15137.4796387,9854.334539999998,200,200,491485.664617,119597.9321666,119597.9321666,493085.63127879996,131603.5512866,131603.5512866,537322.4041251,164084.1213947,164084.1213947,288,1774229700.0,1774315800.0,288,0,1.0,0.0,34.1376784434862,37.461863039345594,0.08465171080261849,0.06176676016783075,1678482.84471545,500,67.72009029345372,1654139.3046280001,224036.92613471783,1.9091873168945312,418.81919625,0.506,732.8250087440365,0.99,0.89,0.98,0.93,0.9835,1.0,1.0,1.0,0.0,0.6666666666666666,93.14866666666667,[],,True
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.4215,115666824.0798,81679204.32,1.421,623.69,1.4211,693.63,0.7037050068610463,596.137239,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.998017839444995,0.9965312190287413,0.9841427155599604,99.48711595639247,1.421,1.4211,1.4210500000000001,9.999999999998899e-05,3112.1178900000004,596.137239,200,200,86761.30881300001,224531.193807,86761.30881300001,356349.470583,557933.5359049999,356349.470583,717402.404853,839974.913078,717402.404853,288,1774229700.0,1774315800.0,288,0,1.0,0.0,31.45862674687367,31.532362318048282,0.04982871379632518,-0.0071233998216735945,238584.223955,500,56.60377358490565,409793.31068,46391.69554867924,2.7821547985076904,57.388214000000005,0.534,44.70428153864975,0.96,0.94,0.9299999999999999,0.76,0.944,1.0,1.0,0.9965742759265036,0.17652394871167493,0.7243660748793929,91.37166074879393,[],,True
mexc,DOGEUSDT,DOGE-USDT,DOGE,USDT,True,1,True,0.09349,39931656.74983,428328422.33,0.09345,22732.8,0.09346,110051.92,1.0699192210983923,2066.659088,1e-05,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9965312190287413,0.985629335976214,0.9900891972249752,99.25173439048564,0.09346,0.09347,0.09346499999999999,9.999999999996123e-06,21686.9602802,2066.659088,200,200,115861.6411913,78702.4799596,78702.4799596,243789.5621329,291075.2877149,243789.5621329,827964.2635033,900766.6141676999,827964.2635033,288,1774229700.0,1774315800.0,288,0,1.0,0.0,30.99808936433125,33.52817367233025,0.06168135270302464,0.011885335231293042,63326.967546600004,500,28.24858757062147,218573.41296750001,12348.780393644069,4.113561391830444,47.8829596,0.504,28.972364224383433,0.93,0.93,0.79,0.85,0.901,1.0,1.0,1.0,0.7009211925205522,0.9003070641735174,90.17507064173519,[],,True
mexc,SUIUSDT,SUI-USDT,SUI,USDT,True,1,True,0.9451,23331262.8048,24833351.01,0.9445,793.44,0.9446,4087.22,1.0579211848716106,869.4327680000001,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9950445986124876,0.9861248761149654,0.9816650148662042,99.01387512388504,0.9452,0.9453,0.94525,9.999999999998899e-05,869.4327680000001,1006.8579359999999,200,200,28508.232418,69289.43348200001,28508.232418,92650.371938,142635.329273,92650.371938,254390.603783,259154.248166,254390.603783,288,1774229700.0,1774315800.0,288,0,1.0,0.0,34.71167814173729,36.459329783587094,0.07145859604875991,0.04263650840856136,34617.3868775,500,26.954177897574123,92426.11507900001,4982.539896442049,18.698996782302856,22.2146805,0.53,32.81121376348079,0.9,0.85,0.8,0.82,0.7545,1.0,1.0,1.0,0.5729595412173071,0.857653180405769,85.59053180405769,[],,True
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,55.38,10224570.35,185570.4436,55.37,49.1032,55.38,106.5216,1.8055430170620221,2082.796936,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9890981169474727,0.9752229930624381,0.9920713577799801,98.62239841427156,55.38,55.39,55.385000000000005,0.00999999999999801,9319.833744000001,2082.796936,200,200,37330.701158,15751.507602,15751.507602,110330.23227800001,64427.52735,64427.52735,286312.738552,194273.839131,194273.839131,288,1774229700.0,1774315800.0,288,0,1.0,0.0,23.428387030284018,25.10196967547782,0.08577633007600405,0.0014817032903072524,17061.484476999998,500,23.183925811437405,72882.123825,3379.3875034775892,4.157987356185913,38.075077,0.498,12.975812156725386,0.81,0.83,0.72,0.86,0.8845000000000001,1.0,1.0,1.0,1.0,1.0,85.054,[],,True
mexc,ADAUSDT,ADA-USDT,ADA,USDT,True,1,True,0.26,19975438.2266,77215150.85,0.2599,44734.0,0.26,63613.48,3.843936190658812,9705.046275,0.0001,0.1,0.1,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9940535183349851,0.9504459861248761,0.9970267591674926,98.37462834489594,0.2601,0.2602,0.26015,9.999999999998899e-05,9705.046275,10031.584272,200,200,9705.046275,10031.584272,9705.046275,116423.11048,106700.663224,106700.663224,390705.154415,202399.641487,202399.641487,288,1774229700.0,1774315800.0,288,0,1.0,0.0,34.465642811996155,35.899727204994925,0.05946791862284828,-0.023947695303904455,33335.971285,500,17.462165308498253,191596.392071,6691.375741711293,7.01249361038208,45.8377525,0.506,8.966236977541787,0.88,0.86,0.53,0.92,0.80125,1.0,1.0,1.0,1.0,1.0,83.77499999999999,[],,True
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.3092,10857435.8201,35306912.58,0.3092,24838.56,0.3093,187206.49,3.2336297493951327,7680.082751999999,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9900891972249752,0.958374628344896,0.9960356788899901,98.33498513379585,0.3092,0.3093,0.30925,0.0001000000000000445,7680.082751999999,57902.967357,200,200,71238.940257,179175.004607,71238.940257,112216.678617,269567.277487,112216.678617,825026.10589,818490.77435,818490.77435,288,1774229700.0,1774315800.0,288,0,1.0,0.0,14.234881346378854,11.916120950881206,0.022026431718061804,-0.017206830341902853,23864.870198999997,500,18.105009052504524,134945.971119,4886.396057417019,28.975388050079346,17.065515500000004,0.53,4.402137056365703,0.82,0.87,0.61,0.91,0.632,1.0,0.9149868162643171,0.44052863436123607,1.0,0.7851718168751844,79.55571816875184,[],,True
mexc,WLDUSDT,WLD-USDT,WLD,USDT,True,1,True,0.3218,5851902.7771,18425950.61,0.3216,1505.84,0.3217,2432.72,3.107037439802532,354.012744,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9826560951437067,0.9618434093161546,0.9712586719524281,97.5173439048563,0.3218,0.3219,0.32184999999999997,0.0001000000000000445,1561.75976,354.012744,198,200,9508.058592,1334.0777039999998,1334.0777039999998,20998.939152,5594.816504,5594.816504,112323.48171699999,33249.632607,33249.632607,288,1774229700.0,1774315800.0,288,0,1.0,0.0,42.868084226738794,35.84524995758595,0.049115913555992374,-0.03158051021250037,13029.352277499998,500,17.878426698450536,146069.35859999998,5222.98064123957,14.32548213005066,42.29638,0.5,13.797092908369741,0.7,0.64,0.62,0.71,0.7375,1.0,1.0,0.9823182711198475,1.0,0.9941060903732826,73.99106090373282,[],,True
mexc,WXTUSDT,WXT-USDT,WXT,USDT,True,1,True,0.021158,2018592.673092,96451948.02,0.021152,47673.0,0.021161,12870.0,1.8908953389432404,619.828488,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9663032705649157,0.9454905847373637,0.9524281466798811,95.8325074331021,0.021152,0.021156,0.021154,4.000000000000531e-06,624.555104,619.828488,112,200,2023.5731939999998,3528.926866,2023.5731939999998,11550.206961,12829.199671999999,11550.206961,25737.886194,23336.733914,23336.733914,288,1774229700.0,1774315800.0,288,0,1.0,0.0,22.97698945574352,26.383211726844422,0.1009248090068354,0.027404243060031086,3711.4573035,500,9.615384615384615,55082.41115851999,1059.2771376638461,10.673223972320557,79.71888249999999,0.518,12.15138087366835,0.5,0.74,0.71,0.78,0.623,1.0,1.0,1.0,1.0,1.0,71.87599999999999,[],,True
