connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.512788,159243.6,21401.3162,7.505275,7.515235,13.261866607724405,97.2886282425,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774848982380.0,False,0.9478260869565217,0.9649122807017544,0.0,76.25324180015257,7.505275,7.515235,7.510255,0.009959999999999525,97.2886282425,98.2474186785,125,200,0.0,0.0,0.0,97.2886282425,98.2474186785,97.2886282425,191.3435538753,163.8533518439,163.8533518439,361.27720670779996,272.997812646,272.997812646,656.8784323935,458.8896186686,458.8896186686,97.2886282425,98.2474186785,97.2886282425,191.3435538753,163.8533518439,163.8533518439,288,1774762500.0,1774848900.0,289,1.0,0.9965397923875432,0.0,24.149010518795492,20.28101795673331,0.03333392222212831,-0.3731479999305463,570.4528877759999,200,2.209716861636082,8424.4846360158,93.07862875399113,8.615142107009888,39.47638657155,0.48,1.8209360139944286,0.9478260869565217,0.8840579710144928,0.9590643274853801,0.9473684210526315,0.7960526315789473,0.9980968858131487,1.0,0.6666784444425662,0.4104680069972143,0.6923821504799269,89.81038405731164,[],,True
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3222,424002.7573,1322342.81,0.3213,0.3235,68.23821339950482,1070.4623579999998,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774848762721.0,False,0.9681159420289855,0.672514619883041,0.0,70.05924230867024,0.3213,0.3235,0.3224,0.0022000000000000353,1070.4623579999998,12043.442395,62,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29366.148531000003,72255.433144,29366.148531000003,198456.091586,199565.422825,198456.091586,96390.029221,130257.269337,96390.029221,210176.665776,199565.422825,199565.422825,288,1774761900.0,1774848900.0,291,3.0,0.9896907216494846,0.0,20.809770467255063,11.773334234380465,0.0885714285714284,-0.13752271847976405,846.5605395,200,3.14150023926906,28631.816142,449.7342863040036,8.213220119476318,53.011555,0.515,0.30495772721104203,0.9681159420289855,0.9942028985507246,0.6812865497076024,0.9941520467836257,0.8884502923976608,0.9943298969072165,1.0,1.0,0.0,0.6666666666666666,89.24401089381155,[],,True
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,83.89,1464301.141,17823.18,83.65,84.24,70.2841145988432,98.56079999999999,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774848971646.0,False,0.991304347826087,0.6549707602339181,0.0,70.89600813628275,83.65,84.24,83.945,0.5899999999999892,1135.1305000000002,98.56079999999999,63,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.1305000000002,51195.602,1135.1305000000002,108195.3042,103238.8944,103238.8944,33585.1289,103238.8944,33585.1289,108195.3042,103238.8944,103238.8944,288,1774762500.0,1774848900.0,289,1.0,0.9965397923875432,0.0,26.642548729909816,22.875638633902533,0.03803997421018736,0.05989861207114631,2721.79248,200,3.172151890030984,95551.3875,1515.5175722660397,1.4485211372375488,368.25475,0.505,0.37906928019191866,0.991304347826087,0.9884057971014493,0.6608187134502924,0.9502923976608187,0.933625730994152,0.9980968858131487,1.0,0.7607994842037471,0.0,0.5869331614012491,88.7886681304201,[],,True
nonkyc,BNB/USDT,BNB-USDT,BNB,USDT,True,active,614.73,1165307.4632,1911.8673,613.97,616.12,34.95679177946292,137.764432,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774848725701.0,False,0.9855072463768116,0.8538011695906433,0.0,75.54792779049073,613.97,616.12,615.0450000000001,2.1499999999999773,726.572098,137.764432,81,64,0.0,0.0,0.0,0.0,0.0,0.0,21160.136596,137.764432,137.764432,21255.03364,138.381202,138.381202,21255.6432,6219.060549,6219.060549,21255.03364,138.381202,138.381202,21255.03364,138.381202,138.381202,288,1774762800.0,1774848900.0,288,0.0,1.0,0.006944444444444444,20.79078178629181,14.626523859985387,0.009098758052733058,-0.10044256325088091,2234.35266,200,3.1849863987423026,49606.574061,789.9813183624385,1.5242998600006104,231.267176,0.49,0.5947565759883713,0.9855072463768116,0.881159420289855,0.8596491228070176,0.9532163742690059,0.9364035087719298,0.9968750000000001,1.0,0.18197516105466113,0.0,0.3939917203515537,87.80098858668362,[],,True
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,54.31,539515.4203,10069.8737,54.3,54.39,16.560861164781198,6.820079999999999,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774848954733.0,False,0.9710144927536232,0.956140350877193,0.0,77.3093058733791,54.3,54.39,54.345,0.09000000000000341,6.820079999999999,1006.563096,75,168,0.0,0.0,0.0,6.820079999999999,1006.563096,6.820079999999999,6.820079999999999,1006.595766,6.820079999999999,6.820079999999999,1006.595766,6.820079999999999,576.1610939999999,95213.434133,576.1610939999999,6.820079999999999,1006.563096,6.820079999999999,6.820079999999999,1006.595766,6.820079999999999,288,1774762500.0,1774848900.0,289,1.0,0.9965397923875432,0.0,18.66347339287357,16.73938553870789,0.014511873350923438,-0.11551192887214967,1095.604695,200,3.7823080020136537,15936.918015,301.39166267785026,23.232283353805542,41.462549499999994,0.605,1.1269627350396396,0.9710144927536232,0.8405797101449275,0.9532163742690059,0.9152046783625731,0.8783625730994152,0.9980968858131487,0.8886227827394642,0.29023746701846875,0.06348136751981981,0.4141138724259175,87.35149990377383,[],,True
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,1.0006,1095369.1686,1094754.26,0.9982,1.0027,44.979759108400714,75.443148,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774847710689.0,False,0.9826086956521739,0.8099415204678363,0.0,74.29201627256548,0.9982,1.0027,1.0004499999999998,0.0044999999999999485,113.205862,75.443148,54,56,0.0,0.0,0.0,0.0,0.0,0.0,26682.979821999998,2999.6280039999997,2999.6280039999997,713976.957498,642736.481813,642736.481813,872543.5235519999,926167.47904,872543.5235519999,576281.978891,478439.278809,478439.278809,872543.5235519999,926167.47904,872543.5235519999,288,1774761000.0,1774848900.0,294,6.0,0.9795918367346939,0.0,14.696858896638313,4.6851793587807125,0.0024570024570022826,-0.3818102360509904,2051.550192,200,3.350783468934003,50170.959549,840.5601093867288,10.53061556816101,160.6312315,0.52,0.32674383295871035,0.9826086956521739,1.0,0.8157894736842105,0.9415204678362573,0.9109649122807018,0.9887755102040816,0.5580715747198594,0.04914004914004565,0.0,0.20240387461996834,87.01077681289853,[],,True
nonkyc,AAVE/USDT,AAVE-USDT,AAVE,USDT,True,active,98.56,56313.8298,586.218,97.82,98.57,64.2103653875564,390.4176,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774848747387.0,False,0.9072463768115943,0.6257309941520468,0.0,65.54182557843886,97.8,98.43,98.11500000000001,0.6300000000000097,390.4176,570.5002800000001,52,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8953.19694,5224.02634,5224.02634,9816.4147,11094.06847,9816.4147,9816.4147,11094.06847,9816.4147,9816.4147,11094.06847,9816.4147,288,1774759800.0,1774848600.0,297,9.0,0.9696969696969697,0.0,24.629778008327353,20.788458053671008,0.0352801660243105,0.0688684177824304,106.054775,200,1.8576452395693,2193.7689,20.3762217690009,313.3811514377594,9.150269999999999,0.51,0.3835794713153971,0.9072463768115943,0.9681159420289855,0.7251461988304093,0.9824561403508771,0.5557017543859649,0.9833333333333334,1.0,0.70560332048621,0.0,0.56853444016207,82.78531897573716,[],,True
