connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70769.87,16202814.5311,232.2109,70743.38,71034.25,41.03186095013654,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774309479902.0,False,1.0,0.8956521739130435,0.0,77.3913043478261
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.431,3412914.9128,2412507.97,1.428,1.4359,55.16952407556142,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309489182.0,False,0.9914163090128756,0.8521739130434782,0.0,75.83224482179511
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,1.0003,2378334.5651,2378183.55,0.9977,1.0026,48.99265110233369,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774308628264.0,False,0.9742489270386266,0.8826086956521739,0.0,75.64890837842881
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.11,2130469.5615,236754.44,9.1,9.15,54.794520547945986,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309444956.0,False,0.9699570815450643,0.8565217391304347,0.0,74.76068296323942
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,349.76,2431716.441,6826.153,349.75,352.01,64.40948472412195,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774309451112.0,False,0.9785407725321889,0.8,0.0,73.8197424892704
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,166474.9883,22183.0673,7.477184,7.492093,19.91946571634608,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309420319.0,False,0.9141630901287554,0.9391304347826087,0.0,73.75723082664678
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2150.57,13909994.537,6537.2056,2142.73,2158.13,71.61358425989262,,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774309476051.0,False,0.9957081545064378,0.7565217391304347,0.0,73.67699197611496
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.106e-06,472341.3959,78660062579.0,6.096e-06,6.13e-06,55.61917225584821,,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774309496607.0,False,0.9570815450643777,0.8391304347826087,0.0,73.61774584810598
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.307,415388.0583,1349818.66,0.3063,0.308,55.34755005697475,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309473631.0,False,0.9527896995708155,0.8434782608695652,0.0,73.49038999813399
nonkyc,XLM/USDT,XLM-USDT,XLM,USDT,True,active,0.1664,224297.8758,1382944.34,0.1663,0.1672,53.97301349325242,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309484179.0,False,0.9227467811158798,0.8608695652173913,0.0,72.27281209180816
nonkyc,ARB/USDT,ARB-USDT,ARB,USDT,True,active,0.0967,112814.004,1186103.28,0.0966,0.0968,20.682523267837833,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309423471.0,False,0.8841201716738197,0.9347826086956522,0.0,71.9961746594514
nonkyc,ONDO/USDT,ONDO-USDT,ONDO,USDT,True,active,0.2524,125137.6707,495416.17,0.25239,0.25348,43.094075553006896,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309470299.0,False,0.9012875536480687,0.8913043478260869,0.0,71.85342414629595
nonkyc,DOGE/USDT,DOGE-USDT,DOGE,USDT,True,active,0.09404,396047.5349,4248397.08,0.09373,0.09434,64.8694634976338,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309263376.0,False,0.944206008583691,0.7956521739130434,0.0,71.82263481992909
nonkyc,UNI/USDT,UNI-USDT,UNI,USDT,True,active,3.583,397636.6564,111301.11,3.57,3.596,72.5648897571874,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309476703.0,False,0.9484978540772532,0.7521739130434782,0.0,70.97172980033588
nonkyc,PEPE/USDT,PEPE-USDT,PEPE,USDT,True,active,3.45e-06,163334.0552,47618554638.0,3.44e-06,3.46e-06,57.97101449275307,,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774309281753.0,False,0.9098712446351931,0.8304347826086956,0.0,70.80378802015301
nonkyc,SUN/USDT,SUN-USDT,SUN,USDT,True,active,0.018827,147372.3382,7927893.79,0.018776,0.018891,61.06140653622561,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309415720.0,False,0.9055793991416309,0.817391304347826,0.0,70.24164956148536
nonkyc,ALGO/USDT,ALGO-USDT,ALGO,USDT,True,active,0.0873,120885.9224,1385984.45,0.087,0.0875,57.30659025787971,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309482525.0,False,0.8969957081545065,0.8347826086956522,0.0,70.20432916588916
nonkyc,SEI/USDT,SEI-USDT,SEI,USDT,True,active,0.0603,103996.2976,1722421.69,0.0602,0.0605,49.7100248550127,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309478962.0,False,0.8669527896995708,0.8782608695652174,0.0,69.63892517260683
nonkyc,FF/USDT,FF-USDT,FF,USDT,True,active,0.07213,111687.2987,1561799.69,0.07212,0.07252,55.30973451327401,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309478262.0,False,0.8798283261802575,0.8478260869565217,0.0,69.58621011382722
nonkyc,AVAX/USDT,AVAX-USDT,AVAX,USDT,True,active,9.52,747639.7228,79364.97,9.46,9.54,84.21052631578769,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309480038.0,False,0.9613733905579399,0.6347826086956522,0.0,68.745101698078
nonkyc,ETC/USDT,ETC-USDT,ETC,USDT,True,active,8.58,72378.6772,8630.086,8.55,8.59,46.67444574095583,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774309400895.0,False,0.8369098712446352,0.8869565217391304,0.0,68.2039559619332
nonkyc,AAVE/USDT,AAVE-USDT,AAVE,USDT,True,active,110.12,102908.4388,938.563,109.83,110.49,59.91285403050078,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774309496094.0,False,0.8626609442060086,0.8260869565217391,0.0,68.09852584437395
nonkyc,DASH/USDT,DASH-USDT,DASH,USDT,True,active,34.35,267439.7735,7909.3094,34.19,34.48,84.4619193243044,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774309472491.0,False,0.9356223175965666,0.6217391304347826,0.0,67.00270572868072
nonkyc,IMX/USDT,IMX-USDT,IMX,USDT,True,active,0.1602,33399.2725,214941.97,0.1601,0.1603,12.484394506866774,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309481815.0,False,0.7811158798283262,0.9565217391304348,0.0,66.87441686881881
nonkyc,W/USDT,W-USDT,W,USDT,True,active,0.0166,240986.9491,14549739.69,0.01654,0.01668,84.28657435280026,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309466022.0,False,0.927038626609442,0.6304347826086957,0.0,66.74799402873671
nonkyc,HACD/USDT,HACD-USDT,HACD,USDT,True,active,4.667,28137.4224,5579.8662,4.6662,4.6681,4.0710069314249875,,0.0001,1e-08,,,market.getlist.priceDecimals/quantityDecimals,1774308966536.0,False,0.7553648068669528,0.9782608695652174,0.0,66.00158611681285
nonkyc,FET/USDT,FET-USDT,FET,USDT,True,active,0.2259,113874.6769,524877.6,0.2256,0.2275,83.86669609357814,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309488672.0,False,0.8927038626609443,0.6478260869565218,0.0,65.29436462026499
nonkyc,RENDER/USDT,RENDER-USDT,RENDER,USDT,True,active,1.684,109448.1565,65958.78,1.675,1.689,83.23424494649234,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309485167.0,False,0.8755364806866953,0.682608695652174,0.0,65.21972382907259
nonkyc,POL/USDT,POL-USDT,POL,USDT,True,active,0.0961,87287.2076,923529.93,0.0957,0.0965,83.24661810614039,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309287769.0,False,0.8454935622317596,0.6739130434782609,0.0,63.3499720097033
nonkyc,SAND/USDT,SAND-USDT,SAND,USDT,True,active,0.0808,47615.988,598435.58,0.0807,0.0813,74.07407407407449,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309485366.0,False,0.8068669527896996,0.7478260869565218,0.0,63.073334577346515
nonkyc,OP/USDT,OP-USDT,OP,USDT,True,active,0.1134,38407.302,331583.86,0.1128,0.1136,70.67137809187359,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309395085.0,False,0.7939914163090128,0.7652173913043478,0.0,62.799962679604405
nonkyc,CAT/USDT,CAT-USDT,CAT,USDT,True,active,0.05722,17507.4241,313514.6783,0.057112,0.057304,33.561739616836405,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774308370534.0,False,0.7167381974248928,0.9173913043478261,0.0,62.355383467064755
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,91.31,3051781.59,34080.83,90.87,91.75,96.37498631037076,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309489413.0,False,0.9828326180257511,0.32173913043478264,0.0,62.09927225228588
nonkyc,BNB/USDT,BNB-USDT,BNB,USDT,True,active,638.15,3142670.8296,4921.2855,634.95,641.33,99.97806124048006,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309313417.0,False,0.9871244635193133,0.30000000000000004,0.0,61.79184549356223
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,55.58,824794.7362,14970.6477,55.42,55.95,95.17823471311863,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309392525.0,False,0.9656652360515021,0.32608695652173914,0.0,61.2637618958761
nonkyc,PENGU/USDT,PENGU-USDT,PENGU,USDT,True,active,0.006982,24127.838,3458382.68,0.006973,0.007017,62.90207290922054,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309482033.0,False,0.7424892703862661,0.8130434782608695,0.0,61.16299682776638
nonkyc,JTO/USDT,JTO-USDT,JTO,USDT,True,active,0.33,20020.2308,61961.62,0.329,0.331,60.60606060606066,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309475834.0,False,0.7339055793991416,0.8217391304347826,0.0,60.90828512782236
nonkyc,PYTH/USDT,PYTH-USDT,PYTH,USDT,True,active,0.0401,26189.4377,656470.36,0.0399,0.0402,74.9063670411989,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309437209.0,False,0.7467811158798283,0.7434782608695651,0.0,59.65991789512969
nonkyc,BCH/USDT,BCH-USDT,BCH,USDT,True,active,476.1,252220.7409,530.3424,473.2,477.6,92.55363904080846,,0.1,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774309495261.0,False,0.9313304721030042,0.33478260869565213,0.0,59.59274118305654
nonkyc,GALA/USDT,GALA-USDT,GALA,USDT,True,active,0.00317,16822.2864,5384439.21,0.00316,0.00318,63.09148264984243,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309492184.0,False,0.7081545064377682,0.808695652173913,0.0,59.16588915842509
nonkyc,BC2/USDT,BC2-USDT,BC2,USDT,True,active,0.910214,71487.0059,77024.2128,0.905274,0.913002,85.00359681368457,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309366435.0,False,0.8326180257510729,0.5304347826086957,0.0,59.05486098152642
nonkyc,XVG/USDT,XVG-USDT,XVG,USDT,True,active,0.004863,32187.7144,6728643.23,0.004858,0.004899,84.04222609408501,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309434043.0,False,0.7725321888412017,0.6391304347826087,0.0,58.46753125583132
nonkyc,BQC/USDT,BQC-USDT,BQC,USDT,True,active,0.000572,17344.7977,39532255.8682,0.00057,0.000574,69.93006993006973,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774308367317.0,False,0.7124463519313304,0.7695652173913043,0.0,58.42367979100578
nonkyc,OPN/USDT,OPN-USDT,OPN,USDT,True,active,0.2394,28479.7844,115366.92,0.2383,0.2403,83.57709987463443,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309459970.0,False,0.759656652360515,0.6608695652173913,0.0,58.30285501026311
nonkyc,BONK/USDT,BONK-USDT,BONK,USDT,True,active,5.97e-06,9239.9294,1562068875.0,5.96e-06,5.99e-06,50.209205020921445,,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774309395680.0,False,0.6566523605150214,0.8739130434782609,0.0,57.9637059152827
nonkyc,NEXA/USDT,NEXA-USDT,NEXA,USDT,True,active,4.841e-07,7054.7827,14465325933.8744,4.839e-07,4.851e-07,24.767801857584814,,1e-10,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309353761.0,False,0.630901287553648,0.9260869565217391,0.0,57.851744728494126
nonkyc,ARRR/USDT,ARRR-USDT,ARRR,USDT,True,active,0.223708,280318.4488,1271514.8182,0.22158,0.22406,111.30060138228211,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309329581.0,False,0.9399141630901288,0.23913043478260865,0.0,57.673539839522306
nonkyc,MEWC/USDT,MEWC-USDT,MEWC,USDT,True,active,2.632e-05,4693.5797,170825681.7201,2.631e-05,2.633e-05,7.598784194528803,,1e-08,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309158670.0,False,0.6008583690987125,0.9695652173913043,0.0,57.286340735211795
nonkyc,BELLS/USDT,BELLS-USDT,BELLS,USDT,True,active,0.053635,54892.9588,1062730.34,0.053627,0.054085,85.0415923945336,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309255129.0,False,0.8240343347639485,0.4782608695652174,0.0,57.27841015114761
nonkyc,RDD/USDT,RDD-USDT,RDD,USDT,True,active,4.299e-05,3685.4394,85947700.4411,4.299e-05,4.3e-05,2.3258518432379574,,1e-08,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774307649662.0,False,0.5793991416309013,0.991304347826087,0.0,56.649561485351754
nonkyc,APE/USDT,APE-USDT,APE,USDT,True,active,0.0909,14648.9788,161882.55,0.0906,0.0913,76.9653655854872,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309474601.0,False,0.6909871244635193,0.7304347826086957,0.0,56.26516141071096
nonkyc,MORPHO/USDT,MORPHO-USDT,MORPHO,USDT,True,active,1.698,12160.81,7161.71,1.6949,1.7078,75.82214124077885,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309488761.0,False,0.6824034334763949,0.7347826086956522,0.0,55.90175405859302
nonkyc,ADA/USDT,ADA-USDT,ADA,USDT,True,active,0.2616,10265.1644,39644.43,0.261,0.2628,68.72852233676855,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309473460.0,False,0.6609442060085837,0.7739130434782608,0.0,55.69975741742863
nonkyc,ZEC/USDT,ZEC-USDT,ZEC,USDT,True,active,228.69,113183.7798,498.6453,228.5,230.92,105.35022419572451,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774309428697.0,False,0.8884120171673819,0.26956521739130435,0.0,55.60179137898862
nonkyc,SAL/USDT,SAL-USDT,SAL,USDT,True,active,0.018928,43926.9402,2194059.1033,0.01891,0.019072,85.3035648465057,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309451357.0,False,0.8025751072961373,0.4521739130434783,0.0,55.44597872737451
nonkyc,DYDX/USDT,DYDX-USDT,DYDX,USDT,True,active,0.0824,17881.6624,215913.46,0.0823,0.083,84.69449485783498,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309308701.0,False,0.7253218884120172,0.6043478260869566,0.0,55.00139951483487
nonkyc,MANA/USDT,MANA-USDT,MANA,USDT,True,active,0.08736,99601.82,1159177.98,0.08685,0.08775,103.09278350515443,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309485168.0,False,0.8583690987124464,0.28695652173913044,0.0,54.384213472662815
nonkyc,BCH2/USDT,BCH2-USDT,BCH2,USDT,True,active,0.14015248,5234.5774,39145.7791,0.13944803,0.14034405,64.0489895210756,,1e-08,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774308808937.0,False,0.6223175965665236,0.8043478260869565,0.0,54.336163463332724
nonkyc,ENS/USDT,ENS-USDT,ENS,USDT,True,active,6.14,10410.6738,1725.9,6.13,6.18,81.23476848090954,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309488110.0,False,0.6695278969957081,0.6956521739130435,0.0,54.21533868259003
nonkyc,FREED/USDT,FREED-USDT,FREED,USDT,True,active,0.003453,48896.4116,14210502.8997,0.003426,0.003456,87.18395815170032,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774308385023.0,False,0.8111587982832618,0.3826086956521739,0.0,54.178951296883746
nonkyc,LPEPE/USDT,LPEPE-USDT,LPEPE,USDT,True,active,4.68e-07,6527.0661,12513731485.8025,4.44e-07,4.47e-07,67.34006734006763,,1e-09,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309157283.0,False,0.6266094420600858,0.7869565217391304,0.0,54.13743235678299
nonkyc,DIVI/USDT,DIVI-USDT,DIVI,USDT,True,active,0.0014325,33120.773,23208985.0,0.0014204,0.0014326,85.52400981423044,,1e-07,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774309197189.0,False,0.776824034334764,0.4304347826086956,0.0,53.4861914536294
nonkyc,XTM/USDT,XTM-USDT,XTM,USDT,True,active,0.000769,80888.1313,104821282.1752,0.000765,0.000773,104.03120936280997,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309256318.0,False,0.8412017167381974,0.27826086956521734,0.0,53.222616159731295
nonkyc,PEP/USDT,PEP-USDT,PEP,USDT,True,active,0.00015956,43748.4664,263712862.2889,0.00015852,0.00015993,88.55393311351872,,1e-08,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309473126.0,False,0.7982832618025751,0.36086956521739133,0.0,52.92731852957642
nonkyc,ZANO/USDT,ZANO-USDT,ZANO,USDT,True,active,9.604,193485.8184,20028.96,9.596,9.72,128.39097121557313,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309486826.0,False,0.9184549356223176,0.09565217391304348,0.0,52.906325807053555
nonkyc,TRMP/USDT,TRMP-USDT,TRMP,USDT,True,active,1.008e-06,37857.557,37352689102.1887,1.006e-06,1.015e-06,89.06481939633885,,1e-09,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774308388099.0,False,0.7896995708154506,0.35652173913043483,0.0,52.34651987311065
