connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,BTCUSDT,BTC-USDT,BTC,USDT,True,1,True,70666.77,1067424133.5,15279.09587685,70690.12,0.11221977,70690.13,0.08472392,0.0014146247455798424,5989.1449189096,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,1.0,0.9995044598612488,0.9950445986124876,99.88850346878098
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.4196,115566938.2626,81631233.58,1.4203,1906.57,1.4204,1953.97,0.7040518182153063,2707.901371,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.998017839444995,0.9965312190287413,0.9920713577799801,99.64568880079287
mexc,USDCUSDT,USDC-USDT,USDC,USDT,True,1,True,1.0002,33148887.0438,33141438.43,1.0002,3946700.48,1.0003,4580948.68,0.999750062484269,3947489.820096,0.0001,1.0,1.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9960356788899901,0.9925668979187314,1.0,99.59613478691776
mexc,GOLD(PAXG)USDT,GOLD(PAXG)-USDT,GOLD(PAXG),USDT,True,1,True,4376.75,59657396.33,13736.808,4381.64,0.29384,4381.78,0.306,0.3195099630039823,1287.5010976,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9975222993062438,0.998017839444995,0.9841427155599604,99.4970267591675
mexc,USD1USDT,USD1-USDT,USD1,USDT,True,1,True,0.9996,16043108.0445,16047865.34,0.9996,904206.47,0.9997,973819.02,1.0003501225427798,903844.787412,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9925668979187314,0.9903369672943508,0.9995044598612488,99.33969276511398
mexc,DOGEUSDT,DOGE-USDT,DOGE,USDT,True,1,True,0.09355,39969522.18424,428866609.62,0.09357,55832.16,0.09358,15882.4,1.0686615014689955,1486.2749919999999,1e-05,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9965312190287413,0.985629335976214,0.9851337958374629,99.15262636273539
mexc,SOLUSDT,SOL-USDT,SOL,USDT,True,1,True,90.94,153409221.64,1711990.315,90.98,21.689,90.99,4.411,1.0990822663066335,401.35688999999996,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9990089197224975,0.9831516352824579,0.9677898909811695,98.8800792864222
mexc,USDEUSDT,USDE-USDT,USDE,USDT,True,1,True,0.9996,6073474.7938,6076425.98,0.9995,685283.26,0.9996,307035.87,1.0004502025910558,306913.055652,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9836471754212092,0.9893458870168483,0.9990089197224975,98.81442021803767
mexc,SUIUSDT,SUI-USDT,SUI,USDT,True,1,True,0.9445,23401263.6585,24915048.04,0.9451,401.18,0.9452,740.0,1.0580331164364278,379.15521800000005,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9950445986124876,0.9861248761149654,0.966798810703667,98.7165510406343
mexc,EURUSDT,EUR-USDT,EUR,USDT,True,1,True,1.159,7114973.6105,6139343.07,1.159,32286.59,1.1592,32908.75,1.7254766629279437,37420.157810000004,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9871159563924677,0.9742319127849356,0.998017839444995,98.60753221010903
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,55.42,10221910.94,185585.8742,55.43,169.9296,55.44,67.1518,1.803914494452604,3722.8957919999993,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9890981169474727,0.9737363726461843,0.9930624380574826,98.60505450941527
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.3087,10938298.1186,35563364.59,0.3087,65756.44,0.3088,63200.32,3.238866396762575,19516.258816,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9900891972249752,0.9534192269573836,0.9975222993062438,98.24083250743311
mexc,ADAUSDT,ADA-USDT,ADA,USDT,True,1,True,0.26,19945614.9765,77116530.46,0.2599,108465.59,0.26,22804.23,3.8468936333906125,5929.0998,0.0001,0.1,0.1,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9940535183349851,0.9444995044598612,0.9945490584737364,98.17641228939546
mexc,XUSDUSDT,XUSD-USDT,XUSD,USDT,True,1,True,1.0003,2168127.2244,2168325.79,1.0003,16393.85,1.0004,15037.0,0.9996501224570298,15043.014799999999,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9687809712586719,0.9930624380574826,0.9965312190287413,98.04013875123884
mexc,HBARUSDT,HBAR-USDT,HBAR,USDT,True,1,True,0.09234,5987798.92374,64743770.29,0.09235,10827.79,0.09236,4340.0,1.0827784093980968,400.8424,1e-05,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9831516352824579,0.9841427155599604,0.9672943508424182,98.02279484638255
