connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,strategy_side_mode,strategy_sample_days,strategy_time_limit_bars,strategy_current_signal,strategy_current_bbp,strategy_current_macd,strategy_current_macdh,strategy_last_signal_ts,strategy_last_signal_side,strategy_bars_since_last_signal,strategy_recommended_side,strategy_signal_count,strategy_events_per_day,strategy_hit_rate,strategy_take_profit_rate,strategy_stop_loss_rate,strategy_time_limit_rate,strategy_ambiguous_rate,strategy_mean_barrier_return_bps,strategy_mean_barrier_return_net_bps,strategy_mean_forward_return_bps,strategy_profit_factor_proxy,strategy_edge_to_spread_ratio,strategy_best_excursion_bps,strategy_worst_excursion_bps,long_signal_count,long_events_per_day,long_hit_rate,long_take_profit_rate,long_stop_loss_rate,long_time_limit_rate,long_ambiguous_rate,long_mean_barrier_return_bps,long_mean_barrier_return_net_bps,long_mean_forward_return_bps,long_profit_factor_proxy,long_edge_to_spread_ratio,long_best_excursion_bps,long_worst_excursion_bps,short_signal_count,short_events_per_day,short_hit_rate,short_take_profit_rate,short_stop_loss_rate,short_time_limit_rate,short_ambiguous_rate,short_mean_barrier_return_bps,short_mean_barrier_return_net_bps,short_mean_forward_return_bps,short_profit_factor_proxy,short_edge_to_spread_ratio,short_best_excursion_bps,short_worst_excursion_bps,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters,microstructure_screen_score,microstructure_passed_filters,microstructure_rejection_reasons,microstructure_rejection_reason,strategy_event_rank,strategy_activity_rank,strategy_hit_rank,strategy_edge_rank,strategy_pf_rank,strategy_ambiguity_rank,strategy_rank,strategy_score
mexc,DOTUSDT,DOT-USDT,DOT,USDT,True,1,True,1.268,2585291.967,2045794.85,1.268,4748.56,1.269,3137.86,7.9145231499810995,2078.1423999999997,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9830938292476754,0.8859574468085106,0.994468085106383,96.10845848096258,1.263,1.264,1.2635,0.001000000000000112,8316.993929999999,2078.1423999999997,187,200,8316.993929999999,2078.1423999999997,2078.1423999999997,8316.993929999999,2078.1423999999997,2078.1423999999997,49005.02157,58395.16082999999,49005.02157,193416.49106,123474.66488999999,123474.66488999999,309344.97678,230045.75344,230045.75344,8316.993929999999,2078.1423999999997,2078.1423999999997,27950.054129999997,29388.720749999997,27950.054129999997,480,1774708500.0,1774852200.0,480,0,1.0,0.0,27.434994470328185,19.83457358811397,0.028714107365792663,-0.0672236828168035,5829.01515,500,7.656967840735069,140267.73134,2148.051015926493,27.211559534072876,58.90569,0.514,long_only,1.6666666666666667,9,0,0.39805460314650704,-0.0018807377010405801,-0.0003969842618860371,1774743900.0,long,361.0,long,2,1.2,1.0,0.0,0.0,1.0,0.0,39.802588275797966,31.888065125816865,39.802588275797966,inf,5.02905702864651,43.777151073890465,-71.59276173888396,2,1.2,1.0,0.0,0.0,1.0,0.0,39.802588275797966,31.888065125816865,39.802588275797966,inf,5.02905702864651,43.777151073890465,-71.59276173888396,0,0.0,,,,,,,,,,,,,3.466411551325578,0.9827064418504107,0.980544747081712,0.8906182447038478,0.9909208819714657,0.8090121317157712,1.0,1.0,0.5742821473158533,1.0,0.8580940491052843,84.86910679054019,['strategy_signal_count<3'],strategy_signal_count<3,False,93.66219458871949,True,[],,0.9009943795936014,0.9009943795936014,0.7375296912114014,0.830166270783848,0.0,0.49940617577197155,0.7167947509327123,71.67947509327122
mexc,TAOUSDC,TAO-USDC,TAO,USDC,True,1,True,323.59,2826941.6,8843.08,323.37,0.24,323.56,0.2,7.559769427030971,69.8698,0.01,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9843617920540998,0.9212765957446809,0.7885106382978724,92.94202622254997,317.35,317.59,317.47,0.23999999999995225,339.56450000000007,69.8698,200,200,644.2109,69.8698,69.8698,913.8819000000001,339.9488,339.9488,59084.8296,50436.16479999999,50436.16479999999,77744.7766,60398.85339999999,60398.85339999999,84909.8645,69788.4246,69788.4246,913.8819000000001,69.8698,69.8698,8081.721199999999,339.9488,339.9488,480,1774708800.0,1774852500.0,480,0,1.0,0.0,40.613398219754636,29.663327542674395,0.01490401070350671,0.06170152105048947,5729.8457,500,42.19409282700422,30936.271600000004,2610.655831223629,18.64981436729431,22.216600000000003,0.512,long_only,1.6666666666666667,9,0,0.2982568849509101,-2.023032039252712,-0.5021682851175782,1774743600.0,long,363.0,long,2,1.2,0.5,0.0,0.0,1.0,0.0,41.720618217175875,34.160848790144904,41.720618217175875,3.079920647088412,5.5187686105872755,76.38519542480515,-48.33927218661993,2,1.2,0.5,0.0,0.0,1.0,0.0,41.720618217175875,34.160848790144904,41.720618217175875,3.079920647088412,5.5187686105872755,76.38519542480515,-48.33927218661993,0,0.0,,,,,,,,,,,,,5.372306472011696,0.9840034587116299,0.964548205793342,0.8949416342412452,0.7851275399913532,0.9084055459272096,1.0,1.0,0.2980802140701342,1.0,0.7660267380233781,84.75038941811566,"['top_of_book_quote<250', 'depth_10bps<1000', 'strategy_signal_count<3']",top_of_book_quote<250; depth_10bps<1000; strategy_signal_count<3,False,92.068267524097,False,"['top_of_book_quote<250', 'depth_10bps<1000']",top_of_book_quote<250; depth_10bps<1000,0.9009943795936014,0.9009943795936014,0.3830166270783848,0.836104513064133,0.9006211180124224,0.49940617577197155,0.7377357225914367,73.77357225914368
mexc,HYPEUSDT,HYPE-USDT,HYPE,USDT,True,1,True,38.53,7344987.67,189924.91,38.51,40.06,38.52,151.34,2.6126714565638167,146.19140000000002,0.01,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9928148774302621,0.9706382978723405,0.9880851063829788,98.63247783313251,38.27,38.28,38.275000000000006,0.00999999999999801,146.19140000000002,915.2748,200,200,2624.6742,3837.9505,2624.6742,20825.0233,16079.1729,16079.1729,60486.0976,48454.029800000004,48454.029800000004,68788.3625,68136.83810000001,68136.83810000001,103509.7357,82723.8086,82723.8086,146.19140000000002,915.2748,146.19140000000002,2624.6742,3837.9505,2624.6742,480,1774708500.0,1774852200.0,480,0,1.0,0.0,24.211192359280588,20.919739707263105,0.06333973128598866,-0.046081229787566125,13347.518800000002,500,12.27495908346972,111367.8028,2734.0704451718493,5.738793134689331,55.762299999999996,0.494,long_only,1.6666666666666667,9,0,0.5181478938304636,-0.008499673961587462,-0.030768488740353057,1774831200.0,long,70.0,long,2,1.2,0.5,0.0,0.0,1.0,0.0,-9.19813396708047,-11.810805423644286,-9.19813396708047,0.7213333333333303,-3.520585775900751,48.91490381324082,-83.2477579242813,2,1.2,0.5,0.0,0.0,1.0,0.0,-9.19813396708047,-11.810805423644286,-9.19813396708047,0.7213333333333303,-3.520585775900751,48.91490381324082,-83.2477579242813,0,0.0,,,,,,,,,,,,,9.266833875516491,0.9926502377864246,0.9680069174232598,0.9688715953307393,0.880674448767834,0.9566507798960139,1.0,1.0,1.0,1.0,1.0,84.38933603491081,"['top_of_book_quote<250', 'strategy_signal_count<3', 'strategy_mean_net_edge_bps<0', 'strategy_profit_factor_proxy<0.95']",top_of_book_quote<250; strategy_signal_count<3; strategy_mean_net_edge_bps<0; strategy_profit_factor_proxy<0.95,False,97.21089452952604,False,['top_of_book_quote<250'],top_of_book_quote<250,0.9009943795936014,0.9009943795936014,0.3830166270783848,0.5985748218527316,0.7515527950310559,0.49940617577197155,0.6515699829298797,65.15699829298796
mexc,KITEUSDT,KITE-USDT,KITE,USDT,True,1,True,0.15769,231606.26923,1444063.84,0.15737,10331.2,0.15753,2170.56,7.997293223831394,189.5368624,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.8693998309382924,0.8527659574468085,0.9451063829787234,88.03826729735076,0.16249,0.16262,0.162555,0.00012999999999999123,369.8792368,189.5368624,109,148,369.8792368,189.5368624,189.5368624,2408.7400958,189.5368624,189.5368624,5569.1015022,4088.1481709,4088.1481709,5572.7705054,7935.9340147,5572.7705054,8539.2903737,13367.6621201,8539.2903737,574.1527678,189.5368624,189.5368624,2408.7400958,3882.0216041999997,2408.7400958,480,1774708800.0,1774852500.0,480,0,1.0,0.0,53.03540921435167,51.66231549646001,0.05036864004671862,-0.03844597432761314,421.47841589999996,500,2.5423728813559325,39929.606849,203.03189923220341,17.071309328079224,19.493997450000002,0.506,long_only,1.6666666666666667,9,0,0.8558192123889323,0.00037742193403078605,0.00046516315172070224,1774743600.0,long,363.0,long,3,1.7999999999999998,1.0,1.0,0.0,0.0,0.0,200.0,192.0027067761686,283.152751287367,inf,25.008461538463227,480.405280871099,-46.757716726354055,3,1.7999999999999998,1.0,1.0,0.0,0.0,0.0,200.0,192.0027067761686,283.152751287367,inf,25.008461538463227,480.405280871099,-46.757716726354055,0,0.0,,,,,,,,,,,,,6.631669957568859,0.8664072632944229,0.8867271941201902,0.890185905750108,0.8945092952875054,0.7038561525129983,1.0,1.0,1.0,1.0,1.0,84.38642501265437,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000,False,88.37364088592771,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000,0.9589277993947255,0.9589277993947255,0.7375296912114014,0.996437054631829,0.0,0.49940617577197155,0.7840560120274437,78.40560120274436
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.3534,56904690.7289,42730096.8,1.3533,4478.07,1.3534,234.65,0.7399459839430907,504.76141399999995,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9987320371935756,0.9948936170212765,0.9391489361702128,98.58558119458283,1.3514,1.3515,1.3514499999999998,9.999999999998899e-05,504.76141399999995,12937.936529999999,200,200,112564.315363,190934.292819,112564.315363,427797.443965,425233.526459,425233.526459,861227.731316,703104.526783,703104.526783,864947.05689,705350.4808039999,705350.4808039999,1301266.647843,956189.444597,956189.444597,504.76141399999995,12937.936529999999,504.76141399999995,9881.837504000001,34026.005209999996,9881.837504000001,480,1774708500.0,1774852200.0,480,0,1.0,0.0,17.254514084231403,15.088888200204375,0.004276550249465331,-0.03380652499663869,98309.39522499999,500,33.70786516853932,468350.179553,31574.169408067417,3.568697452545166,403.0465285,0.496,long_only,1.6666666666666667,9,0,0.7013427480702471,0.0018659851900566515,-0.000546128396116387,1774797900.0,long,181.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,11.33701156375233,10.59706557980924,11.33701156375233,inf,15.321404277834773,27.208827753004705,-10.581210792833806,1,0.6,1.0,0.0,0.0,1.0,0.0,11.33701156375233,10.59706557980924,11.33701156375233,inf,15.321404277834773,27.208827753004705,-10.581210792833806,0,0.0,,,,,,,,,,,,,23.318613059137096,0.9987029831387808,0.9956766104626027,0.9939472546476438,0.9649805447470817,0.9878249566724437,1.0,1.0,0.08553100498930662,0.8893795646954301,0.6583035232282456,83.47857512519914,['strategy_signal_count<3'],strategy_signal_count<3,False,95.94233894927352,True,[],,0.748378728923476,0.7481625594466061,0.7375296912114014,0.7529691211401425,0.0,0.49940617577197155,0.647829293890876,64.7829293890876
mexc,XMRUSDT,XMR-USDT,XMR,USDT,True,1,True,333.83,1588638.52,4846.887,334.06,1.145,334.46,0.037,6.267814771149534,119.64854999999999,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9721048182586645,0.8285106382978723,0.5536170212765957,85.25087138720528,334.94,335.15,335.04499999999996,0.20999999999997954,226.08450000000002,119.64854999999999,200,200,850.6916500000001,121.65981,121.65981,2123.44551,887.85207,887.85207,31076.41921,24430.14819,24430.14819,68904.74523,71619.47159,68904.74523,114848.62845,127348.86308,114848.62845,850.6916500000001,269.16541,269.16541,2904.2410600000003,1811.97638,1811.97638,480,1774708800.0,1774852500.0,480,0,1.0,0.0,22.186975347169287,18.58285652868939,0.030951581169921753,0.11201288476032452,1494.0409,500,3.6823370565852462,69161.45861,509.3516038541795,45.60635256767273,18.890925,0.466,long_only,1.6666666666666667,9,0,0.9045105597930205,0.8159658993213839,-0.06443627321214529,1774791600.0,long,203.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,67.68397735663179,61.416162585482255,67.68397735663179,inf,10.798656282597573,70.76052178193405,-95.37287718434762,1,0.6,1.0,0.0,0.0,1.0,0.0,67.68397735663179,61.416162585482255,67.68397735663179,inf,10.798656282597573,70.76052178193405,-95.37287718434762,0,0.0,,,,,,,,,,,,,3.5398262643776466,0.9714656290531777,0.969303934284479,0.9165585819282317,0.8651102464332037,0.650974870017331,1.0,1.0,0.619031623398435,1.0,0.8730105411328116,82.22047415275749,"['top_of_book_quote<250', 'depth_10bps<1000', 'strategy_signal_count<3']",top_of_book_quote<250; depth_10bps<1000; strategy_signal_count<3,False,90.82887691681927,False,"['top_of_book_quote<250', 'depth_10bps<1000']",top_of_book_quote<250; depth_10bps<1000,0.748378728923476,0.7481625594466061,0.7375296912114014,0.9038004750593824,0.0,0.49940617577197155,0.693078700066648,69.3078700066648
mexc,TONUSDT,TON-USDT,TON,USDT,True,1,True,1.242,2857416.341,2318046.37,1.241,2407.76,1.242,13166.5,8.054772452677325,3391.47972,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9847844463229078,0.8838297872340426,0.9927659574468085,96.11420837754716,1.241,1.242,1.2415,0.0009999999999998899,15235.856280000002,3391.47972,200,200,15235.856280000002,3391.47972,3391.47972,15235.856280000002,3391.47972,3391.47972,48555.38835,102466.99225,48555.38835,151960.70274,131388.91576,131388.91576,201616.47950000002,218512.76274,201616.47950000002,15235.856280000002,3391.47972,3391.47972,31609.91988,34464.279610000005,31609.91988,480,1774708500.0,1774852200.0,480,0,1.0,0.0,21.092464239274772,16.79649385825964,0.010130246020260358,-0.15067926513025973,4584.854625,500,6.648936170212766,66982.14749,890.7200464095745,6.421802520751953,18.46859,0.486,long_only,1.6666666666666667,9,0,0.7687134860641248,0.0015027070093975858,-0.00045757818209332234,1774804500.0,long,159.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,24.610336341261974,16.55556388858465,24.610336341261974,inf,3.0553732567680103,57.42411812961423,-8.203445447089175,1,0.6,1.0,0.0,0.0,1.0,0.0,24.610336341261974,16.55556388858465,24.610336341261974,inf,3.0553732567680103,57.42411812961423,-8.203445447089175,0,0.0,,,,,,,,,,,,,2.6186294353062514,0.9844357976653697,0.9814094249891915,0.8888888888888888,0.9922178988326849,0.9245667244367418,1.0,1.0,0.20260492040520717,0.8093147176531257,0.6706398793527777,82.14194669260445,['strategy_signal_count<3'],strategy_signal_count<3,False,93.21581254340508,True,[],,0.748378728923476,0.7481625594466061,0.7375296912114014,0.7779097387173397,0.0,0.49940617577197155,0.6553114791640352,65.53114791640353
mexc,TAOUSDT,TAO-USDT,TAO,USDT,True,1,True,323.66,13280551.01,41487.538,323.63,0.029,323.72,11.379,0.9467156855001883,11.72419,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9957734573119188,0.9676595744680851,0.49148936170212765,88.78881674790023,316.87,316.9,316.885,0.029999999999972715,11.72419,1835.8017,200,200,605.6498499999999,29427.553559999997,605.6498499999999,40459.15252,45167.84418,40459.15252,166345.53203,125282.45525,125282.45525,236976.06921000002,205920.87386,205920.87386,318126.64969,269264.44312,269264.44312,11.72419,1835.8017,11.72419,11.72419,5484.81858,11.72419,480,1774708800.0,1774852500.0,480,0,1.0,0.0,41.07783954462472,29.78113901416936,0.01732836148278125,0.07520593848200396,27782.304390000005,500,51.81347150259067,144381.81704000002,14961.846325388602,28.113155126571655,31.723000000000003,0.486,long_only,1.6666666666666667,9,0,0.2711948951942664,-2.090122312197593,-0.5206088100036246,1774743600.0,long,363.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,118.6924785782284,117.74576289272821,118.6924785782284,inf,125.37288691432039,152.3325928276731,-6.664550936211766,1,0.6,1.0,0.0,0.0,1.0,0.0,118.6924785782284,117.74576289272821,118.6924785782284,inf,125.37288691432039,152.3325928276731,-6.664550936211766,0,0.0,,,,,,,,,,,,,43.38983728036748,0.9956766104626027,0.9874621703415478,0.9930825767401643,0.5283182014699525,0.8549610051993067,1.0,1.0,0.346567229655625,0.220338757321084,0.522301995658903,81.9393222817919,"['top_of_book_quote<250', 'strategy_signal_count<3']",top_of_book_quote<250; strategy_signal_count<3,False,89.24390091651638,False,['top_of_book_quote<250'],top_of_book_quote<250,0.748378728923476,0.7481625594466061,0.7375296912114014,0.9596199524940617,0.0,0.49940617577197155,0.7098245432970517,70.98245432970516
mexc,TRXUSDC,TRX-USDC,TRX,USDC,True,1,True,0.3219,284809.5456,889194.3,0.3218,441.93,0.322,47.65,6.209251785159204,115.65369,0.0001,0.001,0.001,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.8947590870667794,0.914468085106383,0.591063829787234,83.89472851207712,0.322,0.3222,0.3221,0.00019999999999997797,141.03922,115.65369,88,100,141.03922,115.65369,115.65369,335.150581,146.766988,146.766988,104807.22099800002,105653.64011500002,104807.22099800002,287614.576695,275163.658694,275163.658694,384665.254562,387031.13386400003,384665.254562,156.551581,130.96294,130.96294,335.150581,189.443413,189.443413,480,1774708800.0,1774852500.0,480,0,1.0,0.0,13.84172950593162,10.089824884604731,0.05330882352941142,-0.0028452123408042197,422.6993375,500,5.098572399728076,20078.308578,204.74141989802857,30.321297645568848,10.468376,0.482,long_only,1.6666666666666667,9,0,0.4801901927867821,7.177129585289599e-05,-2.1906506528947018e-05,1774822800.0,short,99.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,47.649301143584125,41.44004935842492,47.649301143584125,inf,7.673919949175069,47.649301143584125,-3.176620076240644,1,0.6,1.0,0.0,0.0,1.0,0.0,47.649301143584125,41.44004935842492,47.649301143584125,inf,7.673919949175069,47.649301143584125,-3.176620076240644,5,3.0,0.8,0.0,0.0,1.0,0.0,39.721763725389266,33.51251194023006,39.721763725389266,10.175727420565467,6.397190047974646,68.8309048008986,-8.053894063098976,2.2292105369305326,0.8923476005188068,0.9900562040639862,0.9178555987894509,0.8616515348032858,0.7589796360485269,1.0,0.8713032784368466,1.0,0.6146052684652663,0.8286361823007043,81.2958717917307,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'strategy_signal_count<3']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; strategy_signal_count<3,False,90.19048580837796,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000,0.748378728923476,0.7481625594466061,0.7375296912114014,0.8586698337292161,0.0,0.49940617577197155,0.6795395076675981,67.9539507667598
mexc,IPUSDT,IP-USDT,IP,USDT,True,1,True,0.54,741238.3453,1407912.14,0.5394,81.11,0.5407,75.78,5.579838184692029,32.61756999999999,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9509721048182587,0.6668085106382979,0.74,83.77367853096167,0.5375,0.5378,0.53765,0.00029999999999996696,71.49825,32.61756999999999,74,200,71.49825,32.61756999999999,32.61756999999999,71.49825,32.61756999999999,32.61756999999999,497.06670699999995,479.79058799999996,479.79058799999996,8445.907856,8136.168713,8136.168713,15248.737409000001,9768.002253999999,9768.002253999999,71.49825,32.61756999999999,32.61756999999999,72.556337,32.61756999999999,32.61756999999999,480,1774708800.0,1774852500.0,480,0,1.0,0.0,34.149235746601065,27.508237293668653,0.03035343035343021,0.010912854448218228,930.9885380000001,500,7.173601147776183,47879.147491,686.9318147919656,24.537615299224854,22.814035,0.496,long_only,1.6666666666666667,9,0,0.6700806195301003,0.0006495272882245384,-0.00022943179092902116,1774841100.0,short,38.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,34.48936577888473,28.909527594192703,34.48936577888473,inf,6.181069170339806,38.32151753209389,-99.63594558344502,1,0.6,1.0,0.0,0.0,1.0,0.0,34.48936577888473,28.909527594192703,34.48936577888473,inf,6.181069170339806,38.32151753209389,-99.63594558344502,1,0.6,1.0,0.0,0.0,1.0,0.0,22.164758034723953,16.584919850031923,22.164758034723953,inf,3.9722940524568817,88.65903213889914,0.0,6.120112199720695,0.949848681366191,0.9092088197146563,0.929096411586684,0.6917423259835711,0.8217504332755632,1.0,1.0,0.6070686070686041,1.0,0.8690228690228681,80.712782760447,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'strategy_signal_count<3']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; strategy_signal_count<3,False,89.93125982987267,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000,0.748378728923476,0.7481625594466061,0.7375296912114014,0.8230403800475059,0.0,0.49940617577197155,0.668850671563085,66.8850671563085
mexc,PENDLEUSDT,PENDLE-USDT,PENDLE,USDT,True,1,True,1.152,297275.253,264478.97,1.152,154.56,1.153,1802.16,8.684324793746331,223.47816,0.001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.8989856297548605,0.8765957446808511,0.8978723404255319,89.31655006204925,1.151,1.152,1.1515,0.0009999999999998899,223.47816,1720.81152,94,200,223.47816,1720.81152,223.47816,223.47816,1720.81152,223.47816,6736.6974199999995,16234.912059999999,6736.6974199999995,84289.52205999999,78470.17506000001,78470.17506000001,175573.79732999997,160251.46407000002,160251.46407000002,223.47816,1720.81152,223.47816,3854.72966,9770.48102,3854.72966,480,1774708800.0,1774852500.0,480,0,1.0,0.0,27.89423294661627,21.195021571231653,0.029126213592233212,-0.06619024789507913,557.347215,500,4.3097256141359,43784.82625,377.4011744002298,19.647501230239868,17.842619999999997,0.504,long_only,1.6666666666666667,9,0,0.7447913082718238,0.001742822992587545,-0.00046660722736129034,1774797900.0,long,182.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,26.929982046677292,18.24565725293096,26.929982046677292,inf,3.100987432675231,62.836624775581825,0.0,1,0.6,1.0,0.0,0.0,1.0,0.0,26.929982046677292,18.24565725293096,26.929982046677292,inf,3.100987432675231,62.836624775581825,0.0,0,0.0,,,,,,,,,,,,,3.212020923803217,0.8966709900562041,0.9731949848681366,0.8754863813229572,0.9027237354085603,0.8053076256499134,1.0,1.0,0.5825242718446642,1.0,0.8608414239482215,80.57512678818198,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'strategy_signal_count<3']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; strategy_signal_count<3,False,90.4856811904286,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000,0.748378728923476,0.7481625594466061,0.7375296912114014,0.7838479809976246,0.0,0.49940617577197155,0.6570929518481207,65.70929518481206
mexc,MNTUSDT,MNT-USDT,MNT,USDT,True,1,True,0.6819,1398695.4809,2068541.94,0.682,197.17,0.6823,65.72,7.323324789455232,59.63273000000001,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9683009298393914,0.9442553191489361,0.7497872340425532,91.858678800741,0.6825,0.683,0.68275,0.000500000000000056,193.6935,59.63273000000001,162,200,193.6935,59.63273000000001,59.63273000000001,1959.975984,2428.668861,1959.975984,11716.268115,11212.621381,11212.621381,23228.100689,25907.089997,23228.100689,27971.979635,27549.258646,27549.258646,793.6459319999999,660.111785,660.111785,4481.451997,4259.8977780000005,4259.8977780000005,480,1774708800.0,1774852500.0,480,0,1.0,0.0,15.850575087659424,13.0545140563363,0.001597444089456699,-0.0855339896893474,2645.987534,500,13.87604070305273,32813.979604,910.6562332284922,3.1000428199768066,16.63146,0.512,long_only,1.6666666666666667,9,0,0.7715667363661721,0.0010895481271141483,-0.00012758280686663362,1774743600.0,long,363.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,28.256989886972228,20.933665097516997,28.256989886972228,inf,3.858491969065626,55.0267697798934,-2.974419988102106,1,0.6,1.0,0.0,0.0,1.0,0.0,28.256989886972228,20.933665097516997,28.256989886972228,inf,3.858491969065626,55.0267697798934,-2.974419988102106,0,0.0,,,,,,,,,,,,,2.164396028219652,0.9675745784695201,0.9455252918287937,0.8988326848249028,0.767833981841764,0.9679376083188909,1.0,1.0,0.03194888178913398,0.582198014109826,0.5380489652996533,80.21745477941175,"['top_of_book_quote<250', 'strategy_signal_count<3']",top_of_book_quote<250; strategy_signal_count<3,False,89.65203148460014,False,['top_of_book_quote<250'],top_of_book_quote<250,0.748378728923476,0.7481625594466061,0.7375296912114014,0.7957244655581948,0.0,0.49940617577197155,0.6606558972162917,66.06558972162917
