connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9982,2334362.2496,2334483.05,0.9977,0.9988,11.01928374655637,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774323869012.0,False,0.9826086956521739,0.9707602339181287,0.0,78.31248410882279
nonkyc,ARRR/USDT,ARRR-USDT,ARRR,USDT,True,active,0.221664,276268.9589,1250559.1283,0.221635,0.221773,6.224515570309928,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774325382009.0,False,0.9536231884057971,0.9853801169590644,0.0,77.08377828629546
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2146.5,13961256.0562,6538.2583,2138.93,2148.78,45.945271485246735,,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774325385097.0,False,0.9971014492753624,0.847953216374269,0.0,76.03941011950167
nonkyc,BTC/USDC,BTC-USDC,BTC,USDC,True,active,70613.58,1230120.5852,17.6327,70351.86,70621.95,38.31775561715988,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774325380379.0,False,0.9768115942028985,0.8742690058479532,0.0,75.58136282735826
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4153,3477231.3361,2452363.81,1.4152,1.4224,50.74711023400123,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325377114.0,False,0.9942028985507246,0.8333333333333334,0.0,75.5144927536232
nonkyc,RENDER/USDT,RENDER-USDT,RENDER,USDT,True,active,1.744,130733.9093,77896.53,1.746,1.748,11.448196908986844,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325365070.0,False,0.927536231884058,0.9678362573099415,0.0,75.21039918637173
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,164184.6929,21904.488,7.477184,7.492093,19.91946571634608,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774325388918.0,False,0.9304347826086956,0.956140350877193,0.0,75.07742181540809
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3094,421691.2014,1371646.11,0.3087,0.31,42.02359786649502,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325374412.0,False,0.9652173913043478,0.8625730994152047,0.0,74.65128400711926
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.12,2143886.2844,237225.52,9.08,9.13,54.91488193300462,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325380114.0,False,0.9797101449275363,0.8157894736842105,0.0,74.27879481311976
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,55.62,852900.7134,15442.9886,55.61,55.91,53.80200860832087,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774325359633.0,False,0.9739130434782609,0.827485380116959,0.0,74.25235189422833
nonkyc,AVAX/USDT,AVAX-USDT,AVAX,USDT,True,active,9.58,780666.5521,82566.05,9.54,9.6,62.6959247648908,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325380279.0,False,0.9710144927536232,0.7923976608187134,0.0,73.21573862191711
nonkyc,SUN/USDT,SUN-USDT,SUN,USDT,True,active,0.019284,167081.5777,8920140.3,0.019259,0.019339,41.45292502202199,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325383132.0,False,0.936231884057971,0.868421052631579,0.0,73.20327993897789
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70629.13,16446737.2546,234.7463,70388.05,70923.81,75.82661497768055,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774325387020.0,False,1.0,0.7280701754385965,0.0,73.20175438596492
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,90.7,3089220.1023,34369.6,90.22,90.9,75.08833922261559,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325365756.0,False,0.991304347826087,0.736842105263158,0.0,72.94279176201374
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.076e-06,496634.2117,82360950476.0,6.044e-06,6.083e-06,64.31928754019948,,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774325360388.0,False,0.9681159420289855,0.7836257309941521,0.0,72.837020086448
nonkyc,PEPE/USDT,PEPE-USDT,PEPE,USDT,True,active,3.43e-06,170042.414,49486765918.0,3.42e-06,3.44e-06,58.30903790087531,,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774325368018.0,False,0.9391304347826087,0.8128654970760234,0.0,71.97381133994408
nonkyc,BNB/USDT,BNB-USDT,BNB,USDT,True,active,633.82,3078884.7361,4815.9014,631.69,636.75,79.783040585285,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774325166250.0,False,0.9884057971014493,0.7017543859649122,0.0,71.90617848970253
nonkyc,ALGO/USDT,ALGO-USDT,ALGO,USDT,True,active,0.0872,122166.5228,1398189.47,0.0869,0.0873,45.92422502870235,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325381583.0,False,0.9188405797101449,0.8508771929824561,0.0,71.80816170861937
nonkyc,DOGE/USDT,DOGE-USDT,DOGE,USDT,True,active,0.09359,400987.7246,4292028.22,0.09315,0.09382,71.66925175161833,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325389929.0,False,0.9623188405797102,0.7543859649122807,0.0,71.78718535469109
nonkyc,UNI/USDT,UNI-USDT,UNI,USDT,True,active,3.587,398491.3881,111371.93,3.569,3.596,75.36636427076103,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325377088.0,False,0.9594202898550724,0.7339181286549707,0.0,71.11606915840326
nonkyc,BCH/USDT,BCH-USDT,BCH,USDT,True,active,473.0,272740.5804,572.883,472.0,475.7,78.08378178748525,,0.1,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774325371958.0,False,0.9507246376811594,0.7192982456140351,0.0,70.27231121281466
nonkyc,AAVE/USDT,AAVE-USDT,AAVE,USDT,True,active,110.32,106067.6218,965.876,109.92,110.52,54.43658138268865,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774325383079.0,False,0.9043478260869565,0.8187134502923976,0.0,70.20696669209255
nonkyc,UNI/USDC,UNI-USDC,UNI,USDC,True,active,3.57,83307.6344,23313.92,3.563,3.585,61.55567991046391,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774325376363.0,False,0.8869565217391304,0.7982456140350878,0.0,68.73874904652936
