connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,53.41,326515.6814,6171.714,53.4,53.41,1.8724838498264227,10.68,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1775255937810.0,False,0.967930029154519,0.9911764705882353,0.0,78.01556336820443,53.4,53.41,53.405,0.00999999999999801,10.68,24.082569,81,168,10.68,24.082569,10.68,10.68,24.082569,10.68,10.68,24.082569,10.68,596.606954,24.120047,24.120047,607.263991,72494.616195,607.263991,10.68,24.082569,10.68,10.68,24.082569,10.68,288,1775169600.0,1775255700.0,288,0.0,1.0,0.0,19.18499314437357,9.917789405456425,0.1301715438950561,-0.16271293623007896,783.7274500000001,200,3.7798418513442686,11946.922606,225.78739030464865,293.72295808792114,35.721792,0.5,10.245745588754744,0.967930029154519,0.8396501457725948,0.9882352941176471,0.9058823529411765,0.7292647058823529,1.0,0.9320827620311309,1.0,1.0,0.9773609206770436,91.60693282193078,[],,True
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,80.21,793626.0012,9952.23,79.92,80.56,79.76071784646068,117.4824,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1775256220930.0,False,0.9883381924198251,0.6529411764705882,0.0,70.68212999485509,79.92,80.56,80.24000000000001,0.6400000000000006,117.4824,128.09040000000002,68,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.4824,23971.5775,117.4824,100715.7552,101396.118,100715.7552,100715.7552,101396.118,100715.7552,100718.9168,101396.118,100718.9168,288,1775169900.0,1775256000.0,288,0.0,1.0,0.0,31.866698490856372,14.82506846600444,0.04679802955665033,-0.12913365205989744,1959.5171500000001,200,3.661697031898036,29502.6763,540.1493112037926,2.967193603515625,89.5403,0.515,0.39952873232911146,0.9883381924198251,0.9883381924198251,0.6352941176470588,0.9411764705882353,0.9227941176470588,1.0,1.0,0.9359605911330066,0.0,0.6453201970443355,88.70772949573919,[],,True
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,66951.92,3512105.6609,52.6112,66778.66,67113.8,50.061071400137,177.4488872,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1775256206747.0,False,1.0,0.8088235294117647,0.0,75.22058823529412,66778.66,67113.8,66946.23000000001,335.1399999999994,184.04198696000003,177.4488872,116,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426206.8189511,451179.23265245,426206.8189511,454324.772904,451179.23265245,451179.23265245,426206.8189511,451179.23265245,426206.8189511,454324.772904,451179.23265245,451179.23265245,288,1775169900.0,1775256000.0,288,0.0,1.0,0.0,15.401257178881243,10.05771789156872,0.001047715193302113,-0.12437252254038796,6765.5824649999995,200,3.7584777162224867,43063.17536185,809.2599249364722,3.5930521488189697,129.375901445,0.475,0.30764937201961473,1.0,0.9970845481049563,0.7941176470588236,0.9529411764705882,0.9520588235294117,1.0,0.616771431573437,0.02095430386604226,0.0,0.21257524514649306,87.82156106062288,[],,True
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9975,1474665.0862,1474278.8,0.9975,1.0024,49.00245012250517,6.16476,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1775255955719.0,False,0.9912536443148688,0.8176470588235294,0.0,74.96012690790603,0.9975,1.0024,0.99995,0.004899999999999904,69.90480000000001,6.16476,57,49,0.0,0.0,0.0,0.0,0.0,0.0,69.90480000000001,6.16476,6.16476,771826.25371,725618.601146,725618.601146,924684.973406,881226.500275,881226.500275,741990.35286,704877.002892,704877.002892,924684.973406,881226.500275,881226.500275,288,1775169900.0,1775256000.0,288,0.0,1.0,0.0,16.867599241059732,6.718799614768209,0.0,-0.45138094987880056,2984.105,200,4.065893220776778,28591.289743,581.2456556966417,4.711801290512085,83.34,0.4,0.34421950736934714,0.9912536443148688,1.0,0.8029411764705883,0.9,0.9589705882352941,1.0,0.7389666034216443,0.0,0.0,0.24632220114054812,87.8080153573153,[],,True
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.397814,149870.543,20102.1446,7.394577,7.405212,14.371826517256059,43.7559166656,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1775256221261.0,False,0.9446064139941691,0.9588235294117647,0.0,75.92394100497343,7.394577,7.405212,7.3998945,0.010634999999999728,49.5673285464,43.7559166656,128,200,0.0,0.0,0.0,49.5673285464,43.7559166656,43.7559166656,163.27202824900002,100.6447333716,100.6447333716,241.2693400682,331.86864872579997,241.2693400682,578.3567624447,550.0384071537,550.0384071537,86.6686246668,43.7559166656,43.7559166656,163.27202824900002,190.6501724124,163.27202824900002,288,1775169900.0,1775256000.0,288,0.0,1.0,0.0,17.642542774231245,16.79570761828161,0.03757460810092359,-0.40136641807878354,509.36508068399996,200,2.1270448433797644,8459.0322621549,89.96370476599822,6.655446290969849,41.372698102200005,0.54,1.2275783285477375,0.9446064139941691,0.8629737609329446,0.9558823529411765,0.9352941176470588,0.7773529411764706,1.0,0.8035452311859371,0.7514921620184718,0.11378916427386876,0.556275519159426,87.59749022846616,[],,True
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2055.12,1617583.1376,787.0857,2047.88,2062.77,73.6667964188394,5880.338438999999,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1775256221470.0,False,0.9970845481049563,0.6911764705882353,0.0,72.11906191047848,2047.63,2062.77,2055.2,15.139999999999873,9076.4271195,5880.338438999999,93,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73843.00396,190176.0543203,73843.00396,95508.589293,190176.1370283,95508.589293,90300.2359504,190176.1370283,90300.2359504,185503.5256617,190176.1370283,185503.5256617,288,1775169900.0,1775256000.0,288,0.0,1.0,0.0,21.518057552164578,13.261113305338734,0.010569300984867056,-0.3086361633107856,3565.74212,200,3.7905003112765687,16167.603594100001,306.4165322801611,11.260806560516357,76.77140655,0.555,0.29209981427482834,0.9970845481049563,0.9854227405247813,0.6647058823529413,1.0,0.909264705882353,1.0,1.0,0.2113860196973411,0.0,0.4037953398991137,87.222907952241,[],,True
nonkyc,BNB/USDT,BNB-USDT,BNB,USDT,True,active,587.91,580455.5381,990.6946,586.47,589.42,50.17476124467309,12.849355999999998,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1775256196111.0,False,0.9795918367346939,0.8029411764705883,0.0,73.95108043217287,586.47,589.42,587.9449999999999,2.949999999999932,210.308142,12.849355999999998,84,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.893762,13.439975999999998,13.439975999999998,21391.944672,21310.811821,21310.811821,210.893762,13.439975999999998,13.439975999999998,21391.944672,21310.811821,21310.811821,288,1775169900.0,1775256000.0,288,0.0,1.0,0.0,18.39020212314446,10.016907689202451,0.04260733929890884,-0.11317855511940857,1562.5332050000002,200,3.6930758519483526,7029.457050999999,129.80159043678088,23.848498106002808,27.475548,0.475,0.3665229622810989,0.9795918367346939,0.8221574344023324,0.7911764705882353,0.9088235294117647,0.8363235294117647,1.0,0.8658501769287049,0.8521467859781768,0.0,0.5726656543022939,85.64530343034929,[],,True
