connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4236,3436175.7209,2427288.25,1.4235,1.4256,14.741497314941496,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313172372.0,False,0.9914163090128756,0.9434782608695652,0.0,78.11485351744729
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9983,2381417.7071,2381306.71,0.9977,0.9988,11.01928374655637,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313071901.0,False,0.9742489270386266,0.9565217391304348,0.0,77.49673446538534
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.1,2145280.7989,238035.33,9.09,9.11,21.97802197802151,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313191264.0,False,0.9699570815450643,0.9173913043478261,0.0,76.2824220936742
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3071,426584.2512,1386736.17,0.307,0.308,32.520325203252064,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313107998.0,False,0.9527896995708155,0.8826086956521739,0.0,74.46865086769921
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2143.58,13907401.1799,6528.7821,2136.65,2151.26,68.14508700042738,,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774313173302.0,False,0.9957081545064378,0.7652173913043478,0.0,73.89438328046279
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,91.05,3063765.246,34171.08,90.78,91.31,58.212971607446995,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313192818.0,False,0.9828326180257511,0.7913043478260869,0.0,73.83840268706848
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,350.56,2403742.2425,6754.775,350.11,352.01,54.12180254087556,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774313154803.0,False,0.9785407725321889,0.8,0.0,73.8197424892704
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70632.52,16231807.3827,232.2594,70352.47,70891.74,76.35994424125477,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774313179237.0,False,1.0,0.7304347826086957,0.0,73.2608695652174
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,162943.7825,21715.3303,7.477184,7.492093,19.91946571634608,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774313189531.0,False,0.9098712446351931,0.9260869565217391,0.0,73.1950923679791
nonkyc,XLM/USDT,XLM-USDT,XLM,USDT,True,active,0.1657,230161.207,1416023.6,0.1656,0.1661,30.14772384684959,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313179380.0,False,0.9227467811158798,0.8956521739130435,0.0,73.14237730919947
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.042e-06,487992.8417,81154604802.0,6.033e-06,6.064e-06,51.2523766223034,,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774313181791.0,False,0.9570815450643777,0.8130434782608695,0.0,72.96557193506251
nonkyc,UNI/USDT,UNI-USDT,UNI,USDT,True,active,3.565,402242.1833,112545.83,3.556,3.575,53.288458841677546,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313190910.0,False,0.9484978540772532,0.808695652173913,0.0,72.38477327859675
nonkyc,RENDER/USDT,RENDER-USDT,RENDER,USDT,True,active,1.701,106919.1022,64115.25,1.7,1.704,23.501762632197437,,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313166238.0,False,0.871244635193133,0.9130434782608696,0.0,70.74454189214406
nonkyc,ALGO/USDT,ALGO-USDT,ALGO,USDT,True,active,0.0867,122492.6469,1403539.86,0.0866,0.087,46.08294930875549,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774312894950.0,False,0.8969957081545065,0.8434782608695652,0.0,70.42172047023699
nonkyc,ARB/USDT,ARB-USDT,ARB,USDT,True,active,0.0966,116500.7671,1222823.28,0.0965,0.0969,41.365046535677095,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313088587.0,False,0.8927038626609443,0.8521739130434782,0.0,70.40306027243889
nonkyc,PEPE/USDT,PEPE-USDT,PEPE,USDT,True,active,3.43e-06,166089.9632,48390876790.0,3.42e-06,3.44e-06,58.30903790087531,,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774313191429.0,False,0.9141630901287554,0.7869565217391304,0.0,69.95288300055982
nonkyc,AVAX/USDT,AVAX-USDT,AVAX,USDT,True,active,9.53,761023.6265,80677.27,9.49,9.57,83.94543546694656,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313194440.0,False,0.9613733905579399,0.6521739130434783,0.0,69.17988430677366
nonkyc,BELLS/USDT,BELLS-USDT,BELLS,USDT,True,active,0.05405,55197.8925,1066114.83,0.05401,0.054085,13.876682547758671,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313193865.0,False,0.8240343347639485,0.9478260869565217,0.0,69.01754058593022
