connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,strategy_side_mode,strategy_sample_days,strategy_time_limit_bars,strategy_current_signal,strategy_current_bbp,strategy_current_macd,strategy_current_macdh,strategy_last_signal_ts,strategy_last_signal_side,strategy_bars_since_last_signal,strategy_recommended_side,strategy_signal_count,strategy_events_per_day,strategy_hit_rate,strategy_take_profit_rate,strategy_stop_loss_rate,strategy_time_limit_rate,strategy_ambiguous_rate,strategy_mean_barrier_return_bps,strategy_mean_barrier_return_net_bps,strategy_mean_forward_return_bps,strategy_profit_factor_proxy,strategy_edge_to_spread_ratio,strategy_best_excursion_bps,strategy_worst_excursion_bps,long_signal_count,long_events_per_day,long_hit_rate,long_take_profit_rate,long_stop_loss_rate,long_time_limit_rate,long_ambiguous_rate,long_mean_barrier_return_bps,long_mean_barrier_return_net_bps,long_mean_forward_return_bps,long_profit_factor_proxy,long_edge_to_spread_ratio,long_best_excursion_bps,long_worst_excursion_bps,short_signal_count,short_events_per_day,short_hit_rate,short_take_profit_rate,short_stop_loss_rate,short_time_limit_rate,short_ambiguous_rate,short_mean_barrier_return_bps,short_mean_barrier_return_net_bps,short_mean_forward_return_bps,short_profit_factor_proxy,short_edge_to_spread_ratio,short_best_excursion_bps,short_worst_excursion_bps,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters,microstructure_screen_score,microstructure_passed_filters,microstructure_rejection_reasons,microstructure_rejection_reason,strategy_event_rank,strategy_activity_rank,strategy_hit_rank,strategy_edge_rank,strategy_pf_rank,strategy_ambiguity_rank,strategy_rank,strategy_score
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,329.9,1183591.1829,3612.422,329.59,330.59,30.294768093550246,138.18661999999998,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774834387866.0,False,0.9884057971014493,0.9152046783625731,0.0,77.24243579964406,329.59,330.59,330.09,1.0,957.78854,138.18661999999998,163,200,0.0,0.0,0.0,0.0,0.0,0.0,957.78854,138.18661999999998,138.18661999999998,2808.27918,162.05697999999998,162.05697999999998,7261.79974,1822.1207700000002,1822.1207700000002,1824.6906199999999,138.18661999999998,138.18661999999998,3537.12638,162.05697999999998,162.05697999999998,480,1774689900.0,1774834200.0,482,2.0,0.995850622406639,0.0,30.806763641079044,21.64017662024263,0.027658584500853112,-0.14406212589398085,1215.30539,200,5.205233689013839,16998.98331,442.41840302097984,8.478221416473389,15.8316,0.5,long_only,1.6701388888888888,9.0,0,0.8578455367066592,0.3418241500896215,0.21102343987423658,1774791900.0,long,140.0,long,1,0.5987525987525988,1.0,0.0,0.0,1.0,0.0,146.03723486368958,115.74246677013933,146.03723486368958,inf,4.820543085615529,189.87928000247177,0.0,1,0.5987525987525988,1.0,0.0,0.0,1.0,0.0,146.03723486368958,115.74246677013933,146.03723486368958,inf,4.820543085615529,189.87928000247177,0.0,0,0.0,,,,,,,,,,,,,1.016900461028378,0.9884057971014493,0.8869565217391304,0.9090909090909091,0.9589442815249267,0.9437134502923976,0.9977178423236515,1.0,0.5531716900170622,0.008450230514189028,0.5205406401770838,83.20956547947017,['strategy_signal_count<3'],strategy_signal_count<3,False,90.18502459138747,True,[],,0.7,0.7840579710144927,0.8079710144927537,0.9927536231884058,0.0,0.4963768115942029,0.727463768115942,72.7463768115942
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,161915.0161,21771.164,7.471767,7.484894,17.553383071261546,65.13504456679999,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774834402054.0,False,0.9536231884057971,0.9649122807017544,0.0,76.5720823798627,7.471767,7.484894,7.4783305,0.013126999999999889,85.18710992039999,65.13504456679999,124,200,0.0,0.0,0.0,85.18710992039999,65.13504456679999,65.13504456679999,123.218913378,137.1619001236,123.218913378,244.74134364239998,361.6781759257,244.74134364239998,642.9337540919,594.667699051,594.667699051,85.18710992039999,65.13504456679999,65.13504456679999,164.2080713528,188.28534297609997,164.2080713528,480,1774690200.0,1774834200.0,481,1.0,0.997920997920998,0.0,24.47259572144869,20.987212907380574,0.005878175792962002,-0.3648416575348307,565.900325501,200,2.2134655067712234,8597.634789031099,95.15284022668313,5.546825170516968,41.7605522809,0.475,long_only,1.6666666666666667,9.0,0,0.9957728454885196,0.010630764715672036,0.000830537106678712,1774729800.0,long,347.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,62.64738531333691,45.09400224207536,62.64738531333691,inf,3.568963604281126,90.37679870514293,-17.89732912326425,1,0.6,1.0,0.0,0.0,1.0,0.0,62.64738531333691,45.09400224207536,62.64738531333691,inf,3.568963604281126,90.37679870514293,-17.89732912326425,0,0.0,,,,,,,,,,,,,1.3941811457140305,0.9536231884057971,0.8956521739130435,0.9648093841642229,0.9442815249266863,0.7855263157894736,0.9988565488565488,1.0,0.11756351585924003,0.19709057285701526,0.43821802957208505,81.4022337141995,['strategy_signal_count<3'],strategy_signal_count<3,False,87.5882639198011,True,[],,0.7,0.808695652173913,0.8079710144927537,0.9637681159420289,0.0,0.4963768115942029,0.721231884057971,72.1231884057971
nonkyc,RXD/USDT,RXD-USDT,RXD,USDT,True,active,7.7906e-05,2241.5715,27928831.37,7.786e-05,7.7993e-05,17.067364760382343,3.6244049037,1e-09,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834392689.0,False,0.6202898550724638,0.9678362573099415,0.0,58.31184846173405,7.786e-05,7.7993e-05,7.792650000000001e-05,1.3299999999999348e-07,49.4302681168,3.6244049037,48,200,0.0,0.0,0.0,89.31107773779999,3.6244049037,3.6244049037,91.2540780395,3.6244049037,3.6244049037,91.28200804174,3.6244049037,3.6244049037,91.28200804174,3.6523034766899998,3.6523034766899998,91.2540780395,3.6244049037,3.6244049037,91.28200804174,3.6244049037,3.6244049037,480,1774678500.0,1774834200.0,520,40.0,0.9230769230769231,0.0,62.33183248456867,213.58844652441266,0.04759082006846015,-0.010334900034686978,8.09290718183,200,0.6026110534331908,483.5185560272001,1.4568681320102317,101.22364592552185,2.50968104855,0.445,long_only,1.8020833333333333,9.0,0,-0.08566376774590387,-2.798958431790322e-07,-3.068566099380507e-08,1774761000.0,long,227.0,long,6,3.3294797687861273,0.5,0.0,0.0,1.0,0.0,-3.984014588109079,-21.051379348491423,-3.984014588109079,0.693330168263457,-0.23342880661676496,55.89552861887929,-27.067276253379312,6,3.3294797687861273,0.5,0.0,0.0,1.0,0.0,-3.984014588109079,-21.051379348491423,-3.984014588109079,0.693330168263457,-0.23342880661676496,55.89552861887929,-27.067276253379312,0,0.0,,,,,,,,,,,,,3.6521064241420897,0.6202898550724638,0.8260869565217391,0.967741935483871,0.9002932551319648,0.48611111111111116,0.9576923076923078,1.0,0.951816401369203,1.0,0.9839388004564009,76.63282120199695,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'strategy_mean_net_edge_bps<0', 'strategy_profit_factor_proxy<0.95']",quote_volume_24h<50000; top_of_book_quote<5; strategy_mean_net_edge_bps<0; strategy_profit_factor_proxy<0.95,False,79.344557075792,False,"['quote_volume_24h<50000', 'top_of_book_quote<5']",quote_volume_24h<50000; top_of_book_quote<5,0.9898550724637681,0.9942028985507246,0.4963768115942029,0.6811594202898551,0.75,0.4963768115942029,0.7256521739130436,72.56521739130436
nonkyc,EPIC/USDT,EPIC-USDT,EPIC,USDT,True,active,0.44579,31442.3848,70311.054,0.4449,0.44774,63.6314751747627,5.75659318,1e-05,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774832167871.0,False,0.8608695652173913,0.739766081871345,0.0,65.84197813374016,0.4449,0.44774,0.44632000000000005,0.002840000000000009,7.7853050999999995,5.75659318,41,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19951.07443344,5.75659318,5.75659318,19956.86842489,5.75659318,5.75659318,19956.86842489,5.75659318,5.75659318,19956.86842489,5.75659318,5.75659318,480,1774689600.0,1774834200.0,483,3.0,0.9937888198757764,0.0,91.37647796302687,50.938503379047454,0.01392918655862397,-0.4087917340223074,106.031612175,200,2.4571936392023135,2215.21222091,27.21602689351641,3.5325937271118164,11.54200284,0.455,long_only,1.6736111111111112,9.0,0,0.14484910583749444,-0.0003267164518135912,-0.00019335268668441732,1774726500.0,long,356.0,long,1,0.5975103734439834,1.0,0.0,0.0,1.0,0.0,75.24538981604323,11.61391464128053,75.24538981604323,inf,1.1825183937569124,116.79881404281112,-11.230655196423633,1,0.5975103734439834,1.0,0.0,0.0,1.0,0.0,75.24538981604323,11.61391464128053,75.24538981604323,inf,1.1825183937569124,116.79881404281112,-11.230655196423633,0,0.0,,,,,,,,,,,,,1.4360263959316206,0.8608695652173913,0.8347826086956521,0.7565982404692082,0.9090909090909091,0.8217836257309942,0.9965838509316771,1.0,0.27858373117247937,0.2180131979658103,0.49886564304609654,76.52173593257491,"['quote_volume_24h<50000', 'strategy_signal_count<3']",quote_volume_24h<50000; strategy_signal_count<3,False,81.5507193079147,False,['quote_volume_24h<50000'],quote_volume_24h<50000,0.7,0.7768115942028986,0.8079710144927537,0.8695652173913043,0.0,0.4963768115942029,0.6897826086956521,68.9782608695652
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,5.881e-06,141628.4372,24503036751.0,5.88e-06,5.882e-06,3.4007821799016327,0.17112502599999999,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774834414682.0,False,0.9478260869565217,0.9883040935672515,0.0,76.83803712179,5.88e-06,5.882e-06,5.881e-06,2.0000000000001503e-09,171.59048339999998,0.17112502599999999,53,125,171.59048339999998,0.17112502599999999,0.17112502599999999,171.59048339999998,0.17112502599999999,0.17112502599999999,8997.94265429,0.17112502599999999,0.17112502599999999,40603.999104247,0.17112502599999999,0.17112502599999999,48244.645352311,4979.6889673040005,4979.6889673040005,171.59048339999998,0.17112502599999999,0.17112502599999999,171.59048339999998,0.17112502599999999,0.17112502599999999,480,1774690500.0,1774834200.0,480,0.0,1.0,0.0,24.62520118586961,17.535044085628726,0.021625163826998674,-0.04752751012325097,285.105854595,200,3.0839441900101416,5948.410076528,91.72282347653154,13.337271213531494,16.927865629499998,0.465,long_only,1.6666666666666667,9.0,0,1.0669839060820125,2.1217396618093393e-08,4.358268606831468e-09,1774822800.0,short,38.0,short,1,0.6,1.0,0.0,0.0,1.0,0.0,10.37523776586502,6.974455585963387,10.37523776586502,inf,3.05083866505238,69.16825177243568,0.0,1,0.6,1.0,0.0,0.0,1.0,0.0,10.37523776586502,6.974455585963387,10.37523776586502,inf,3.05083866505238,69.16825177243568,0.0,1,0.6,1.0,1.0,0.0,0.0,0.0,200.0,196.59921782009837,132.1207961564863,inf,58.80999999999558,252.23061084419962,0.0,7.241040408704415,0.9478260869565217,0.48405797101449277,0.9912023460410557,0.530791788856305,0.8162280701754385,1.0,1.0,0.43250327653997345,1.0,0.8108344255133245,75.7205540856881,"['top_of_book_quote<5', 'strategy_signal_count<3']",top_of_book_quote<5; strategy_signal_count<3,False,80.43763845199223,False,['top_of_book_quote<5'],top_of_book_quote<5,0.7,0.808695652173913,0.8079710144927537,0.8478260869565217,0.0,0.4963768115942029,0.6864492753623188,68.64492753623188
nonkyc,MANA/USDT,MANA-USDT,MANA,USDT,True,active,0.08107,67525.3419,838375.18,0.08106,0.08108,7.402837754473102,0.16216,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834408247.0,False,0.9188405797101449,0.9912280701754386,0.0,75.31693363844394,0.08102,0.08108,0.08105,6.0000000000004494e-05,500.00034639999996,0.16216,57,51,500.00034639999996,0.16216,0.16216,1500.0002952999998,0.16216,0.16216,7500.0005715,0.16216,0.16216,12500.0001638,0.16216,0.16216,12500.167374999999,0.16216,0.16216,500.00034639999996,0.16216,0.16216,3500.0006494,0.16216,0.16216,480,1774690500.0,1774834200.0,480,0.0,1.0,0.0,30.16884485669692,22.212198424348482,0.011760169654906448,-0.239321793394525,119.88299352499999,200,3.198249065267842,4732.711292399999,75.68194733550429,17.76154088973999,9.511382699999999,0.51,long_only,1.6666666666666667,9.0,0,0.8697217970965827,0.00014162035919525195,5.4902717247740134e-05,1774746300.0,long,293.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,27.16720177821763,19.76436402374453,27.16720177821763,inf,3.6698361735406237,53.099530748332846,0.0,1,0.6,1.0,0.0,0.0,1.0,0.0,27.16720177821763,19.76436402374453,27.16720177821763,inf,3.6698361735406237,53.099530748332846,0.0,0,0.0,,,,,,,,,,,,,4.075308126058505,0.9188405797101449,0.4579710144927536,0.9882697947214076,0.5043988269794721,0.8339181286549707,1.0,1.0,0.23520339309812893,1.0,0.7450677976993764,75.17674489974482,"['top_of_book_quote<5', 'strategy_signal_count<3']",top_of_book_quote<5; strategy_signal_count<3,False,78.51679705513025,False,['top_of_book_quote<5'],top_of_book_quote<5,0.7,0.808695652173913,0.8079710144927537,0.8985507246376812,0.0,0.4963768115942029,0.7016666666666667,70.16666666666667
nonkyc,DIVI/USDT,DIVI-USDT,DIVI,USDT,True,active,0.0013751,31473.7466,21643414.0,0.0013636,0.0013752,84.70863151745337,0.6202152,1e-07,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774834189092.0,False,0.863768115942029,0.5263157894736843,0.0,60.66514111365371,0.0013636,0.0013752,0.0013694,1.1600000000000065e-05,0.6258924,0.6202152,57,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258924,0.6202152,0.6202152,0.6258924,0.6202152,0.6202152,0.6258924,0.6202152,0.6202152,0.6258924,2.2342374,0.6258924,480,1774685700.0,1774834200.0,496,16.0,0.967741935483871,0.0,49.27591251371047,74.9693554749976,0.22011402934853747,-0.07072811234801692,108.0987911,200,1.1854276563747086,3454.8105746,20.477140013333194,49.46499705314636,18.044925550000002,0.425,long_only,1.71875,9.0,0,-0.09317755526537204,-1.5275752295799364e-05,-2.693206881966373e-06,1774802700.0,long,103.0,long,2,1.1636363636363636,0.5,0.5,0.0,0.5,0.0,95.82434407404797,11.115712556594602,283.95993729438686,23.948333333331405,1.1312229032327634,348.02930528870843,-21.656509681936555,2,1.1636363636363636,0.5,0.5,0.0,0.5,0.0,95.82434407404797,11.115712556594602,283.95993729438686,23.948333333331405,1.1312229032327634,348.02930528870843,-21.656509681936555,0,0.0,,,,,,,,,,,,,0.581710643071334,0.863768115942029,0.6956521739130435,0.5483870967741935,0.7595307917888563,0.585672514619883,0.9822580645161292,1.0,1.0,0.0,0.6666666666666666,74.3806544219787,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'strategy_signal_count<3']",quote_volume_24h<50000; top_of_book_quote<5; strategy_signal_count<3,False,73.01123563083407,False,"['quote_volume_24h<50000', 'top_of_book_quote<5']",quote_volume_24h<50000; top_of_book_quote<5,0.8521739130434782,0.9130434782608695,0.4963768115942029,0.8623188405797102,0.95,0.4963768115942029,0.7643478260869564,76.43478260869564
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.3402,1438683.6129,1084535.25,1.3315,1.3428,84.50809557641318,2014.7639760000002,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834330265.0,False,0.9942028985507246,0.5467836257309941,0.0,68.35075006356472,1.3315,1.3428,1.3371499999999998,0.011300000000000088,7943.569219999999,2014.7639760000002,84,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78230.596488,2014.7639760000002,2014.7639760000002,168156.819818,168026.150779,168026.150779,168156.819818,99241.569439,99241.569439,168157.241162,168028.958464,168028.958464,480,1774690500.0,1774834200.0,480,0.0,1.0,0.0,22.544829693317407,14.627956954339169,0.0037438423645320233,-0.15866490854866003,2533.9972964999997,200,3.210379370592466,96733.13308500001,1552.750274544298,4.303215026855469,427.91136800000004,0.5,long_only,1.6666666666666667,9.0,0,1.1164575429925223,0.0035994482838357378,0.0007937583024194782,1774748100.0,long,287.0,long,1,0.6,1.0,0.0,0.0,1.0,0.0,27.002700270026825,-57.50539530638636,27.002700270026825,inf,0.31952797049616005,30.00300030002956,-5.250525052504784,1,0.6,1.0,0.0,0.0,1.0,0.0,27.002700270026825,-57.50539530638636,27.002700270026825,inf,0.31952797049616005,30.00300030002956,-5.250525052504784,0,0.0,,,,,,,,,,,,,0.2667771595081339,0.9942028985507246,0.991304347826087,0.5689149560117301,0.9941348973607038,0.9144736842105263,1.0,1.0,0.07487684729064047,0.0,0.3582922824302135,74.28971414652077,"['strategy_signal_count<3', 'strategy_mean_net_edge_bps<0']",strategy_signal_count<3; strategy_mean_net_edge_bps<0,False,85.2992820316409,True,[],,0.7,0.808695652173913,0.8079710144927537,0.4855072463768116,0.0,0.4963768115942029,0.5777536231884058,57.775362318840585
nonkyc,RVN/USDT,RVN-USDT,RVN,USDT,True,active,0.00574,5612.8923,979741.23,0.005731,0.00575,33.09816218099455,0.221605,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834409278.0,False,0.7072463768115942,0.9005847953216375,0.0,61.413170607678616,0.005731,0.00575,0.0057405,1.899999999999992e-05,6.135723219999999,0.221605,55,153,0.0,0.0,0.0,0.0,0.0,0.0,6.135723219999999,0.221605,0.221605,6.135723219999999,0.221605,0.221605,6.135723219999999,0.221605,0.221605,6.135723219999999,0.221605,0.221605,6.135723219999999,0.221605,0.221605,480,1774635300.0,1774834200.0,664,184.0,0.7228915662650602,0.0,23.74264885112268,39.53839288802292,0.055711422845691645,-0.3693690807777389,11.008530725,200,2.4923640196881327,230.51778342,2.872671146471348,10.000514507293701,0.7830361450000001,0.47,long_only,2.3020833333333335,9.0,0,0.4707648280066563,1.2747167011436383e-07,-4.6599101918353393e-07,1774747500.0,long,197.0,long,2,0.8687782805429863,1.0,1.0,0.0,0.0,0.0,200.0,166.90183781900544,341.12094741161945,inf,6.042631578947393,341.12094741161945,42.532879951535094,2,0.8687782805429863,1.0,1.0,0.0,0.0,0.0,200.0,166.90183781900544,341.12094741161945,inf,6.042631578947393,341.12094741161945,42.532879951535094,0,0.0,,,,,,,,,,,,,0.7173403985782648,0.7072463768115942,0.5420289855072464,0.8973607038123167,0.6011730205278593,0.7834795321637427,0.8475903614457831,1.0,1.0,0.0,0.6666666666666666,73.65471414234213,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'coverage_ratio<0.92', 'strategy_signal_count<3']",quote_volume_24h<50000; top_of_book_quote<5; coverage_ratio<0.92; strategy_signal_count<3,False,71.52597284593254,False,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'coverage_ratio<0.92']",quote_volume_24h<50000; top_of_book_quote<5; coverage_ratio<0.92,0.8521739130434782,0.8681159420289855,0.8079710144927537,1.0,0.0,0.4963768115942029,0.7684782608695652,76.84782608695652
nonkyc,ZSD/USDT,ZSD-USDT,ZSD,USDT,True,active,0.991702,6852.741,6889.9352,0.99,0.991769,17.852736620665887,0.8437970652,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774831350918.0,False,0.7246376811594203,0.9590643274853801,0.0,63.83168065090262,0.99,0.991769,0.9908845,0.0017690000000000206,1216.707525,0.8437970652,60,48,0.0,0.0,0.0,1216.707525,0.8437970652,0.8437970652,1216.707525,0.8437970652,0.8437970652,1216.707525,0.8437970652,0.8437970652,1217.5496864936001,10.9461513666,10.9461513666,1216.707525,0.8437970652,0.8437970652,1216.707525,0.8437970652,0.8437970652,480,1774688400.0,1774834200.0,487,7.0,0.9856262833675564,0.0,52.95994039081126,36.95153623329387,0.007045930788479686,-0.46919752920146657,21.619202774,200,1.304277224973141,770.2645690206,5.023192672886602,25.966341018676758,4.28896588995,0.5,long_only,1.6875,9.0,0,0.39519001942515314,-1.087606782756989e-05,2.1067377546593598e-05,1774766400.0,long,222.0,short,1,0.5925925925925926,1.0,0.0,0.0,1.0,0.0,4.181813957764291,-13.670922662901596,4.181813957764291,inf,0.23423938002443426,72.72719926545435,0.0,1,0.5925925925925926,1.0,0.0,0.0,1.0,0.0,4.181813957764291,-13.670922662901596,4.181813957764291,inf,0.23423938002443426,72.72719926545435,0.0,2,1.1851851851851851,1.0,0.0,0.0,1.0,0.0,133.85436844742637,116.00163182676047,133.85436844742637,inf,7.497694683541114,171.81253938300333,-6.309270336081196,2.966488640711035,0.7246376811594203,0.744927536231884,0.9589442815249267,0.8093841642228738,0.6286549707602339,0.992094455852156,1.0,0.14091861576959372,0.9832443203555175,0.7080543120417037,73.11956676310825,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'strategy_signal_count<3', 'strategy_mean_net_edge_bps<0']",quote_volume_24h<50000; top_of_book_quote<5; strategy_signal_count<3; strategy_mean_net_edge_bps<0,False,78.65338421870699,False,"['quote_volume_24h<50000', 'top_of_book_quote<5']",quote_volume_24h<50000; top_of_book_quote<5,0.7,0.7521739130434782,0.8079710144927537,0.7391304347826086,0.0,0.4963768115942029,0.6481884057971014,64.81884057971014
nonkyc,PEP/USDT,PEP-USDT,PEP,USDT,True,active,0.00015481,41470.1949,269889354.1765,0.00015453,0.00015547,60.645161290322655,1.598099223186,1e-08,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774834405747.0,False,0.8869565217391304,0.7514619883040936,0.0,67.56915840325452,0.00015453,0.00015547,0.000155,9.400000000000012e-07,1.598099223186,63.963552504278,54,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598099223186,1017.007204237958,1.598099223186,1.598099223186,1018.584789684774,1.598099223186,1.598099223186,1018.584789684774,1.598099223186,1.598099223186,1018.584789684774,1.598099223186,479,1774689900.0,1774834200.0,482,3.0,0.9937759336099585,0.0,82.8134337037756,51.70549133021485,0.007037023940026175,-0.316696847566598,140.48463827601003,200,1.986645109401877,2940.2715951627997,29.20638092421716,9.824848651885986,14.59556007175,0.55,long_only,1.6701388888888888,9.0,0,0.9402410483607317,8.100537135160982e-07,2.1764711658124212e-08,1774832100.0,short,7.0,short,2,1.1975051975051976,0.5,0.0,0.0,1.0,0.0,-3.5975720371128617,-64.24273332743552,-3.5975720371128617,0.855185733599421,-0.059321666569414136,83.89894964885403,-36.6176984166916,2,1.1975051975051976,0.5,0.0,0.0,1.0,0.0,-3.5975720371128617,-64.24273332743552,-3.5975720371128617,0.855185733599421,-0.059321666569414136,83.89894964885403,-36.6176984166916,1,0.5987525987525988,1.0,0.0,0.0,1.0,0.0,3.218124477054607,-57.427036813268046,3.218124477054607,inf,0.05306481850462377,53.420866319109365,-7.079873849520357,1.3655406621367236,0.8869565217391304,0.7884057971014493,0.7712609970674487,0.8533724340175953,0.7369883040935673,0.9965767634854772,1.0,0.14074047880052348,0.18277033106836182,0.44117026995629516,72.39222168003889,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'strategy_signal_count<3', 'strategy_mean_net_edge_bps<0', 'strategy_profit_factor_proxy<0.95']",quote_volume_24h<50000; top_of_book_quote<5; strategy_signal_count<3; strategy_mean_net_edge_bps<0; strategy_profit_factor_proxy<0.95,False,79.44355787252859,False,"['quote_volume_24h<50000', 'top_of_book_quote<5']",quote_volume_24h<50000; top_of_book_quote<5,0.8521739130434782,0.9304347826086956,0.4963768115942029,0.427536231884058,0.775,0.4963768115942029,0.6181521739130434,61.815217391304344
nonkyc,INJ/USDT,INJ-USDT,INJ,USDT,True,active,2.84,29090.6759,10382.2,2.83,2.85,70.42253521126767,0.19950000000000004,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834389810.0,False,0.8434782608695652,0.7076023391812866,0.0,64.08136282735826,2.83,2.85,2.84,0.020000000000000018,3423.9037999999996,0.19950000000000004,52,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3423.9037999999996,0.19950000000000004,0.19950000000000004,11517.726799999999,3377.2589,3377.2589,11517.726799999999,3377.2589,3377.2589,22766.120499999997,15908.137999999999,15908.137999999999,480,1774635300.0,1774834200.0,664,184.0,0.7228915662650602,0.0,6.740346118089082,18.712546122264627,0.057471264367816244,-0.1599128570228384,47.397400000000005,200,3.2998063839486935,1754.7076,28.95097670221645,1.2168192863464355,5.4094999999999995,0.525,long_only,2.3020833333333335,9.0,0,1.0941215591499391,0.0083155946618918,0.0021589649089409366,1774804800.0,long,86.0,short,2,0.8687782805429863,0.5,0.0,0.0,1.0,0.0,17.857142857142794,-52.56539235412488,17.857142857142794,inf,0.25357142857142745,17.857142857142794,17.857142857142794,2,0.8687782805429863,0.5,0.0,0.0,1.0,0.0,17.857142857142794,-52.56539235412488,17.857142857142794,inf,0.25357142857142745,17.857142857142794,17.857142857142794,1,0.43438914027149317,1.0,0.0,0.0,1.0,0.0,34.364261168385866,-36.058274042881806,34.364261168385866,inf,0.4879725085910788,34.364261168385866,0.0,0.09571291487686488,0.8434782608695652,0.9391304347826087,0.7243401759530792,0.5689149560117303,0.9654970760233919,0.8475903614457831,0.0,1.0,0.0,0.3333333333333333,69.64447714477363,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'coverage_ratio<0.92', 'natr_bps_mean<15', 'strategy_signal_count<3', 'strategy_mean_net_edge_bps<0']",quote_volume_24h<50000; top_of_book_quote<5; coverage_ratio<0.92; natr_bps_mean<15; strategy_signal_count<3; strategy_mean_net_edge_bps<0,False,78.56205127993672,False,"['quote_volume_24h<50000', 'top_of_book_quote<5', 'coverage_ratio<0.92', 'natr_bps_mean<15']",quote_volume_24h<50000; top_of_book_quote<5; coverage_ratio<0.92; natr_bps_mean<15,0.8521739130434782,0.8681159420289855,0.4963768115942029,0.5217391304347826,0.0,0.4963768115942029,0.5626811594202898,56.268115942028984
